Metric,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
Exact Match Rate,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NNDR,187.354,83.798,100.343,99.167,271.228,99.200,82.046,89.826
Membership Inference risk,0.531,0.960,0.875,0.870,0.383,0.863,0.961,0.917
DCR_p05,104.322,55.843,65.335,57.467,146.862,56.436,56.425,57.721
KAnonymity_mean_k_distance,216.499,113.182,131.868,132.508,300.345,129.870,110.220,122.191
