Path,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
SMP–SMS,0.102,-0.016,0.235,0.051,0.001,0.009,0.001,0.122
SMP–SPI,-0.009,0.007,0.138,0.009,0.001,0.034,-0.035,-0.051
SMS–SPI,0.016,-0.072,-0.067,-0.026,-0.023,0.020,-0.026,0.064
