Path,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
SMP–SMS,0.102,-0.047,-0.047,0.051,-0.007,0.009,0.001,0.075
SMP–SPI,-0.009,0.043,0.008,0.009,0.001,0.034,-0.035,0.025
SMS–SPI,0.016,-0.047,-0.018,-0.026,-0.025,0.020,-0.026,-0.196
