Technique,SMP,SMS,SPI
CTGAN,0.085,0.103,0.064
GReaT,0.022,0.015,0.039
Tabula,0.004,0.053,0.205
TapTap,0.011,0.015,0.112
PredLLM,0.005,0.016,0.327
TabSyn,0.004,0.043,0.038
TabDiff,0.248,0.021,0.064
REaLTabFormer,0.029,0.030,0.114
