Model,Metric,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
PLS,Mean |Δr|,0.047,0.039,0.093,0.037,0.061,0.037,0.012,0.054
PLS,Median |Δr|,0.049,0.046,0.073,0.051,0.039,0.043,0.011,0.056
PLS,Max |Δr|,0.064,0.052,0.181,0.054,0.145,0.052,0.022,0.058
CB,Mean |Δr|,0.042,0.046,0.270,0.029,0.011,0.021,0.021,0.099
CB,Median |Δr|,0.016,0.047,0.354,0.026,0.007,0.020,0.026,0.075
CB,Max |Δr|,0.102,0.047,0.412,0.051,0.025,0.034,0.035,0.196
