"lhs","op","rhs","block","group","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"MOT","=~","ST113Q01TA",1,1,"",1,0,NA,NA,1,1,0.88878997140162,0.88878997140162
"MOT","=~","ST113Q02TA",1,1,".p2.",1.06381622179052,0.0159880116312409,66.5383692686216,0,1.03248029480888,1.09515214877216,0.945509189341778,0.945509189341778
"MOT","=~","ST113Q03TA",1,1,".p3.",1.03108615513522,0.015541832626128,66.3426366721914,0,1.00062472293426,1.06154758733618,0.916419034335241,0.916419034335241
"MOT","=~","ST113Q04TA",1,1,".p4.",0.972676774820294,0.0147875968103362,65.7765279440411,0,0.943693617654136,1.00165993198645,0.86450536287555,0.86450536287555
"SCIEFF","=~","ST129Q01TA",1,1,"",1,0,NA,NA,1,1,0.729676663910194,0.729676663910194
"SCIEFF","=~","ST129Q02TA",1,1,".p6.",1.0845064317187,0.01380690466734,78.5481219613316,0,1.05744539583274,1.11156746760466,0.791339035085649,0.791339035085649
"SCIEFF","=~","ST129Q03TA",1,1,".p7.",1.06795670912191,0.013665133236057,78.1519426611946,0,1.0411735401353,1.09473987810853,0.779263088712588,0.779263088712588
"SCIEFF","=~","ST129Q04TA",1,1,".p8.",1.11639043848995,0.0140835414621309,79.2691555239716,0,1.0887872044494,1.14399367253051,0.814604050778587,0.814604050778587
"SCIEFF","=~","ST129Q05TA",1,1,".p9.",1.12716574489671,0.0141780733739594,79.5006285527454,0,1.09937723171359,1.15495425807984,0.822466540410082,0.822466540410082
"SCIEFF","=~","ST129Q06TA",1,1,".p10.",1.11266491348987,0.0140509797353284,79.187710355335,0,1.08512549926112,1.14020432771862,0.811885622125213,0.811885622125213
"SCIEFF","=~","ST129Q07TA",1,1,".p11.",0.980171018833749,0.0129341491156265,75.7816389830815,0,0.95482055239645,1.00552148527105,0.715207919084065,0.715207919084065
"SCIEFF","=~","ST129Q08TA",1,1,".p12.",1.07817807486298,0.0137525463533332,78.3984323457058,0,1.05122357931472,1.10513257041123,0.786721380767131,0.786721380767131
"ST113Q01TA","|","t1",1,1,"",-0.470438541577237,0.0200361706146965,-23.4794637470381,0,-0.509708714370142,-0.431168368784332,-0.470438541577237,-0.470438541577237
"ST113Q01TA","|","t2",1,1,"",1.00227275372314,0.0200361706146965,50.0231692471201,0,0.963002580930235,1.04154292651605,1.00227275372314,1.00227275372314
"ST113Q01TA","|","t3",1,1,"",1.71319121346162,0.0200361706146965,85.5049223929542,0,1.67392104066871,1.75246138625452,1.71319121346162,1.71319121346162
"ST113Q02TA","|","t1",1,1,"",-0.530874689799517,0.0200361706146965,-26.4958159924092,0,-0.570144862592422,-0.491604517006612,-0.530874689799517,-0.530874689799517
"ST113Q02TA","|","t2",1,1,"",0.944127821190401,0.0200361706146965,47.1211709735533,0,0.904857648397496,0.983397993983306,0.944127821190401,0.944127821190401
"ST113Q02TA","|","t3",1,1,"",1.72198502556008,0.0200361706146965,85.9438192394412,0,1.68271485276718,1.76125519835299,1.72198502556008,1.72198502556008
"ST113Q03TA","|","t1",1,1,"",-0.495304446411283,0.0200361706146965,-24.7205145102915,0,-0.534574619204188,-0.456034273618378,-0.495304446411283,-0.495304446411283
"ST113Q03TA","|","t2",1,1,"",0.783409229744543,0.0200361706146965,39.0997483905389,0,0.744139056951638,0.822679402537448,0.783409229744543,0.783409229744543
"ST113Q03TA","|","t3",1,1,"",1.60202863418871,0.0200361706146965,79.9568273297506,0,1.56275846139581,1.64129880698162,1.60202863418871,1.60202863418871
"ST113Q04TA","|","t1",1,1,"",-0.59812095421015,0.0200361706146965,-29.8520593436866,0,-0.637391127003055,-0.558850781417245,-0.59812095421015,-0.59812095421015
"ST113Q04TA","|","t2",1,1,"",0.624799393599714,0.0200361706146965,31.1835732293786,0,0.585529220806809,0.664069566392619,0.624799393599714,0.624799393599714
