Path,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
SMP–SMS,0.064,-0.052,0.026,0.054,-0.000,-0.016,-0.011,0.104
SMP–SPI,-0.049,0.046,0.073,0.051,0.145,-0.043,-0.003,-0.045
SMS–SPI,0.029,-0.021,-0.181,-0.007,0.039,-0.052,-0.022,-0.086
