Path,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
SMP–SMS,0.064,-0.052,-0.042,0.054,0.022,-0.016,-0.011,-0.098
SMP–SPI,-0.049,0.046,0.092,0.051,0.071,-0.043,-0.003,-0.076
SMS–SPI,0.029,-0.021,0.028,-0.007,-0.005,-0.052,-0.022,-0.065
