"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"SMP","=~","PV1MATH","",80.4632801850527,1.2118633044175,66.3963335565546,0,78.0880717542087,82.8384886158967,100.902457647034,0.957185515860143,0.957185515860143
"SMP","=~","PV2MATH","",81.0012365520028,1.21239039520274,66.8111829923044,0,78.6249950422032,83.3774780618025,101.57706498851,0.960685988954626,0.960685988954626
"SMP","=~","PV3MATH","",81.4399957957802,1.2243052160787,66.519357041231,0,79.0404016661814,83.839589925379,102.127277282997,0.958253367441513,0.958253367441513
"SMP","=~","PV4MATH","",82.043427510294,1.22855999626573,66.780155433735,0,79.6354941647665,84.4513608558215,102.883991934407,0.960378232482767,0.960378232482767
"SMP","=~","PV5MATH","",81.7910786038185,1.22524497641245,66.7548777415149,0,79.3896425778115,84.1925146298255,102.567541687918,0.960150912624637,0.960150912624637
"SMP","=~","PV6MATH","",81.3342824356204,1.21492420696102,66.9459724068451,0,78.9530747460309,83.7154901252099,101.994710753,0.96174881190108,0.96174881190108
"SMP","=~","PV7MATH","",80.8494516662652,1.21499179313954,66.5432080469859,0,78.4681115101999,83.2307918223304,101.386723904113,0.958397383633191,0.958397383633191
"SMP","=~","PV8MATH","",81.9700357294529,1.22626209444258,66.8454452771075,0,79.5666061887388,84.373465270167,102.791957269142,0.960943175239523,0.960943175239523
"SMP","=~","PV9MATH","",81.6511434289122,1.22429198017507,66.6925412818896,0,79.2515752412078,84.0507116166166,102.392060362438,0.959725435753938,0.959725435753938
"SMP","=~","PV10MATH","",80.7569810948428,1.20763234947737,66.8721578465436,0,78.3900651833016,83.1238970063839,101.270764078773,0.961146717035727,0.961146717035727
"SMS","=~","ST268Q01JA","",0.77199064940086,0.0196189631234009,39.3492074247315,0,0.733538188264975,0.810443110536745,0.792823102117937,0.844390969898001,0.844390969898001
"SMS","=~","ST268Q04JA","",0.734774673748556,0.0178384788616039,41.1904333014687,0,0.699811897640833,0.769737449856278,0.754602839621358,0.832086976062839,0.832086976062839
"SMS","=~","ST268Q07JA","",0.19222809271073,0.0113739856179105,16.9006801281716,0,0.169935490538949,0.214520694882511,0.197415438769129,0.348583569224984,0.348583569224984
"SPI","=~","SC064Q01TA","",24.6066258764195,0.380077454453352,64.74108260857,0,23.8616877543552,25.3515639984837,24.6066258764195,0.95558550025996,0.95558550025996
"SPI","=~","SC064Q02TA","",1.00741587455481,0.555785487841144,1.81259837939985,0.0698937879539949,-0.0819036647438542,2.09673541385348,1.00741587455481,0.0354929378852386,0.0354929378852386
"SPI","=~","SC064Q03TA","",3.45779176022887,0.157074532904492,22.0137007335961,0,3.14993133284761,3.76565218761012,3.45779176022887,0.409594135931269,0.409594135931269
"SPI","=~","SC064Q04NA","",4.23942696502221,0.144967967318501,29.243887759756,0,3.95529497016596,4.52355895987845,4.23942696502221,0.526660425768926,0.526660425768926
"SPI","=~","SC064Q05WA","",25.1338706507772,0.394858253664664,63.6528942158628,0,24.3599626945961,25.9077786069583,25.1338706507772,0.945470860188026,0.945470860188026
"SPI","=~","SC064Q06WA","",9.55198856078315,0.668968041777199,14.2786919019436,0,8.24083529209155,10.8631418294747,9.55198856078315,0.274243829699352,0.274243829699352
"SMS","~","SPI","a",0.00443657679618218,0.0224854328400903,0.197308934532583,0.84358578803544,-0.0396340617471891,0.0485072153395534,0.00432000000107461,0.00432000000107461,0.00432000000107461
"SMS","~","female","c1",-0.379973478155772,0.042644806259193,-8.91019356135217,0,-0.463555762551479,-0.296391193760066,-0.369989183429398,-0.184816109984263,-0.369989183429398
"SMS","~","ESCS_z","c2",0.162213356206792,0.0303729285010056,5.34072162983629,9.25773198101609e-08,0.102683510239811,0.221743202173773,0.157950990410148,0.157386928749941,0.157950990410148
"SMS","~","ST001D01T_z","c3",0.0270229219816679,0.0210797690307142,1.2819363410621,0.199864978373324,-0.0142926661209547,0.0683385100842905,0.0263128597458974,0.0262855438843611,0.0263128597458974
"SMS","~","MISCED","c4",-0.0177812870964536,0.0135281439281349,-1.31439221750689,0.188714248102271,-0.0442959619732722,0.00873338778036502,-0.0173140607735878,-0.0366525303565384,-0.0173140607735878
"SMS","~","SCHSIZE_z","c5",-0.03409151346078,0.0229329740691439,-1.48657184009334,0.13712792981664,-0.0790393166946931,0.010856289773133,-0.0331957148389588,-0.033236522421482,-0.0331957148389588
"SMP","~","SMS","b",0.369217313664046,0.0229557489221641,16.0838714047601,0,0.324224872538461,0.414209754789632,0.302372508945894,0.302372508945894,0.302372508945894
"SMP","~","SPI","cprime",0.0605665423855964,0.0210493195706234,2.87736343126852,0.00401013448904286,0.0193106341281005,0.101822450643092,0.0482979580820486,0.0482979580820486,0.0482979580820486
"SMP","~","female","d1",-0.120784124934946,0.0398118823439523,-3.03387124204374,0.0024143745074563,-0.198813980485838,-0.0427542693840533,-0.0963176429313926,-0.0481123581085176,-0.0963176429313926
"SMP","~","ESCS_z","d2",0.603512593265604,0.0288050393802362,20.951632292497,0,0.547055753507083,0.659969433024125,0.481262835609095,0.47954418912676,0.481262835609095
"SMP","~","ST001D01T_z","d3",0.17039714782967,0.0196396627471562,8.67617484186909,0,0.131904116176731,0.208890179482609,0.135880867208547,0.135739806792084,0.135880867208547
"SMP","~","MISCED","d4",-0.0838356403879478,0.0125737837966144,-6.66749498353245,2.60207411173496e-11,-0.108479803778705,-0.0591914769971904,-0.0668535809665392,-0.141523871139307,-0.0668535809665392
"SMP","~","SCHSIZE_z","d5",0.152458178544289,0.0213414532297876,7.14375806102527,9.08162434143378e-13,0.110629698836159,0.194286658252419,0.121575682325043,0.121725135641936,0.121575682325043
"PV1MATH","~~","PV1MATH","",931.180689113165,27.5574972343589,33.790466572275,0,877.16898702976,985.192391196571,931.180689113165,0.0837958882275514,0.0837958882275514
"PV2MATH","~~","PV2MATH","",861.754990371174,25.7593643088956,33.4540472364677,0,811.267564061092,912.242416681256,861.754990371174,0.077082430626273,0.077082430626273
"PV3MATH","~~","PV3MATH","",928.566754887928,27.5582503971299,33.6946918438855,0,874.553576632616,982.579933143239,928.566754887928,0.0817504837869999,0.0817504837869999
"PV4MATH","~~","PV4MATH","",891.424804414521,26.6196935868132,33.4874179339206,0,839.251163704875,943.598445124167,891.424804414521,0.0776736505732766,0.0776736505732766
"PV5MATH","~~","PV5MATH","",891.351056960187,26.5985154388921,33.5113085167476,0,839.218924657726,943.483189262649,891.351056960187,0.078110224986077,0.078110224986077
"PV6MATH","~~","PV6MATH","",843.956984586965,25.309893354092,33.3449443180098,0,794.350505160395,893.563464013535,843.956984586965,0.0750392228068613,0.0750392228068613
"PV7MATH","~~","PV7MATH","",911.784920478581,27.0745064204226,33.6768806167714,0,858.719862995354,964.849977961808,911.784920478581,0.0814744550450531,0.0814744550450531
"PV8MATH","~~","PV8MATH","",876.364546189015,26.2147795205631,33.4301703930635,0,824.984522466053,927.744569911977,876.364546189015,0.0765882139605838,0.0765882139605838
"PV9MATH","~~","PV9MATH","",898.389430042534,26.7746284870232,33.5537589430216,0,845.912122508528,950.86673757654,898.389430042534,0.078927087966914,0.078927087966914
