Technique,Mean_|Δμ|,Mean_|Δσ|,Mean_Continuous_Adherence
CTGAN,0.1,0.14,1.000
GReaT,0.21,0.28,1.000
PredLLM,0.04,0.06,0.999
REaLTabFormer,0.05,0.06,0.999
TabDiff,0.03,0.24,1.000
TabSyn,0.03,0.07,1.000
Tabula,0.23,0.29,1.000
TapTap,0.04,0.03,0.989
