Overall_Rank,Technique,Distribution_Score,Distribution_Rank,Path_Score,Path_Rank,LatentCorr_Score,LatentCorr_Rank,Covariate_Score,Covariate_Rank,Loading_Score,Loading_Rank,Reliability_Score,Reliability_Rank,HTMT_Score,HTMT_Rank,Fit_Score,Fit_Rank,Privacy_Score,Privacy_Rank,Overall_Score
1,TabSyn,-0.100,1,1.872,1,-0.029,2,-0.025,2,-0.028,2,-0.032,3,0,1,0,5,154.773,5,0.592
2,TabDiff,-0.270,2,1.707,3,-0.017,1,-0.016,1,-0.111,6,-0.074,7,0,1,1,4,417.707,1,0.543
3,TapTap,-0.581,5,1.468,4,-0.033,3,-0.033,4,-0.046,3,-0.017,1,0,1,4,1,146.630,6,0.513
4,GReaT,-0.410,3,1.721,2,-0.052,6,-0.040,5,-0.025,1,-0.025,2,0,1,0,5,138.465,7,0.467
5,CTGAN,-0.472,4,0.963,6,-0.044,4,-0.031,3,-0.084,5,-0.059,5,0,1,2,3,291.145,2,0.374
6,PredLLM,-0.621,6,0.791,7,-0.052,5,-0.051,6,-0.116,7,-0.047,4,0,1,4,1,164.803,3,0.241
7,REaLTabFormer,-0.711,7,0.980,5,-0.087,7,-0.072,7,-0.058,4,-0.068,6,0,1,0,5,155.764,4,0.121
