Metric,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
Directional Consistency,0.842,0.842,0.842,0.842,0.421,1.000,1.000,0.789
Rank Preservation (Spearman ρ),0.121,0.879,0.396,0.626,0.370,0.872,0.707,0.191
