Overall_Rank,Technique,Distribution_Score,Distribution_Rank,Path_Score,Path_Rank,LatentCorr_Score,LatentCorr_Rank,Covariate_Score,Covariate_Rank,Loading_Score,Loading_Rank,Reliability_Score,Reliability_Rank,HTMT_Score,HTMT_Rank,Fit_Score,Fit_Rank,Privacy_Score,Privacy_Rank,Overall_Score
1,TabSyn,-0.100,1,1.872,1,-0.029,2,-0.025,2,-0.028,1,-0.032,2,0,1,0,5,154.773,5,0.588
2,TabDiff,-0.270,2,1.707,2,-0.017,1,-0.016,1,-0.111,8,-0.074,8,0,1,1,4,417.707,1,0.526
3,TapTap,-0.581,6,1.468,5,-0.033,3,-0.033,4,-0.046,4,-0.017,1,0,1,4,1,146.630,6,0.471
4,Tabula,-0.430,4,1.614,4,-0.039,5,-0.034,5,-0.037,2,-0.033,4,0,1,0,5,138.297,7,0.410
5,GReaT,-0.400,3,1.621,3,-0.042,6,-0.040,6,-0.044,3,-0.037,5,0,1,0,5,134.357,8,0.381
6,CTGAN,-0.472,5,0.963,8,-0.044,7,-0.031,3,-0.084,6,-0.059,7,0,1,2,3,291.145,2,0.318
7,PredLLM,-0.601,7,1.084,7,-0.036,4,-0.046,7,-0.096,7,-0.033,3,0,1,4,1,161.717,3,0.285
8,REaLTabFormer,-0.621,8,1.139,6,-0.076,8,-0.050,8,-0.055,5,-0.039,6,0,1,0,5,161.257,4,0.182
