Variable,Technique,Type,Mean ± SD,Range,Boundary_Adherence,Category_Proportions,Category_Adherence
SC064Q06WA,CTGAN,ordinal,,,,"3.0: 2.3%, 4.0: 1.2%, 5.0: 0.9%, 6.0: 1.2%, 7.0: 1.6%, 8.0: 1.5%, 9.0: 2.1%, 10.0: 2.0%, 11.0: 2.3%, 12.0: 2.4%, 13.0: 2.6%, 14.0: 2.5%, 15.0: 3.0%, 16.0: 2.7%, 17.0: 2.7%, 18.0: 2.5%, 19.0: 2.5%, 20.0: 1.8%, 21.0: 2.0%, 22.0: 2.0%, 23.0: 1.5%, 24.0: 1.6%, 25.0: 1.2%, 26.0: 1.2%, 27.0: 1.2%, 28.0: 0.8%, 29.0: 0.4%, 30.0: 0.6%, 31.0: 0.5%, 32.0: 0.3%, 33.0: 0.4%, 34.0: 0.4%, 35.0: 0.2%, 36.0: 0.2%, 37.0: 0.2%, 38.0: 0.1%, 39.0: 0.0%, 40.0: 0.1%, 41.0: 0.1%, 42.0: 0.1%, 43.0: 0.2%, 44.0: 0.3%, 45.0: 0.2%, 46.0: 0.2%, 47.0: 0.5%, 48.0: 0.5%, 49.0: 0.5%, 50.0: 0.6%, 51.0: 0.3%, 52.0: 0.5%, 53.0: 0.4%, 54.0: 0.4%, 55.0: 0.4%, 56.0: 0.2%, 57.0: 0.2%, 58.0: 0.2%, 59.0: 0.1%, 60.0: 0.2%, 61.0: 0.1%, 62.0: 0.2%, 63.0: 0.1%, 64.0: 0.2%, 65.0: 0.2%, 66.0: 0.3%, 67.0: 0.3%, 68.0: 0.4%, 69.0: 0.8%, 70.0: 0.5%, 71.0: 1.0%, 72.0: 1.1%, 73.0: 1.0%, 74.0: 1.4%, 75.0: 1.6%, 76.0: 1.1%, 77.0: 1.3%, 78.0: 1.0%, 79.0: 0.8%, 80.0: 1.1%, 81.0: 0.8%, 82.0: 0.7%, 83.0: 0.7%, 84.0: 0.5%, 85.0: 0.5%, 86.0: 0.6%, 87.0: 0.4%, 88.0: 0.4%, 89.0: 0.4%, 90.0: 0.7%, 91.0: 0.9%, 92.0: 1.1%, 93.0: 1.3%, 94.0: 1.3%, 95.0: 1.4%, 96.0: 1.9%, 97.0: 1.4%, 98.0: 1.6%, 99.0: 1.6%, 100.0: 8.2%",0.224
ST268Q07JA,CTGAN,ordinal,,,,"1: 3.8%, 2: 3.9%, 3: 21.8%, 4: 70.5%",1.000
ST268Q01JA,CTGAN,ordinal,,,,"1: 14.3%, 2: 27.7%, 3: 33.9%, 4: 24.2%",1.000
SC064Q01TA,CTGAN,ordinal,,,,"4.0: 3.0%, 5.0: 2.1%, 6.0: 3.5%, 7.0: 3.8%, 8.0: 4.4%, 9.0: 4.6%, 10.0: 3.4%, 11.0: 3.8%, 12.0: 2.6%, 13.0: 2.3%, 14.0: 1.8%, 15.0: 1.0%, 16.0: 0.9%, 17.0: 0.7%, 18.0: 0.9%, 19.0: 7.9%, 20.0: 13.1%, 21.0: 6.1%, 22.0: 1.2%, 23.0: 0.4%, 24.0: 0.5%, 25.0: 1.0%, 26.0: 1.1%, 27.0: 1.3%, 28.0: 1.4%, 29.0: 1.7%, 30.0: 2.0%, 31.0: 2.1%, 32.0: 2.3%, 33.0: 1.6%, 34.0: 1.6%, 35.0: 1.2%, 36.0: 1.2%, 37.0: 0.9%, 38.0: 0.7%, 39.0: 0.6%, 40.0: 0.6%, 41.0: 0.4%, 42.0: 0.3%, 43.0: 0.2%, 44.0: 0.2%, 45.0: 0.1%, 46.0: 0.1%, 47.0: 0.0%, 58.0: 0.0%, 59.0: 0.0%, 61.0: 0.0%, 62.0: 0.2%, 63.0: 0.2%, 64.0: 0.4%, 65.0: 0.5%, 66.0: 0.6%, 67.0: 0.7%, 68.0: 1.1%, 69.0: 1.1%, 70.0: 4.5%",0.358
IMMIG,CTGAN,categorical,,,,"1: 64.1%, 2: 13.3%, 3: 22.7%",1.000
SC064Q04NA,CTGAN,ordinal,,,,"1.0: 2.1%, 2.0: 14.6%, 3.0: 14.6%, 4.0: 4.8%, 5.0: 16.1%, 6.0: 7.8%, 7.0: 0.6%, 8.0: 1.4%, 9.0: 5.7%, 10.0: 7.9%, 11.0: 2.6%, 12.0: 0.2%, 13.0: 0.4%, 14.0: 2.0%, 15.0: 4.3%, 16.0: 2.5%, 17.0: 0.8%, 18.0: 0.6%, 19.0: 0.8%, 20.0: 1.2%, 21.0: 1.6%, 22.0: 1.8%, 23.0: 1.5%, 24.0: 1.3%, 25.0: 1.3%, 26.0: 1.6%",0.764
SC064Q05WA,CTGAN,ordinal,,,,"2.0: 6.3%, 3.0: 7.7%, 4.0: 8.7%, 5.0: 7.4%, 6.0: 4.1%, 7.0: 1.9%, 8.0: 1.5%, 9.0: 4.2%, 10.0: 7.1%, 11.0: 7.1%, 12.0: 3.0%, 13.0: 0.7%, 14.0: 0.4%, 15.0: 0.5%, 16.0: 0.8%, 17.0: 1.3%, 18.0: 1.7%, 19.0: 2.3%, 20.0: 2.4%, 21.0: 3.3%, 22.0: 3.1%, 23.0: 3.2%, 24.0: 2.9%, 25.0: 2.4%, 26.0: 2.2%, 27.0: 1.5%, 28.0: 1.0%, 29.0: 0.6%, 30.0: 0.4%, 31.0: 0.2%, 32.0: 0.1%, 33.0: 0.1%, 35.0: 0.0%, 36.0: 0.1%, 37.0: 0.1%, 38.0: 0.3%, 39.0: 0.2%, 40.0: 0.4%, 41.0: 0.6%, 42.0: 0.4%, 43.0: 0.3%, 44.0: 0.4%, 45.0: 0.4%, 46.0: 0.4%, 47.0: 0.1%, 48.0: 0.1%, 49.0: 0.1%, 50.0: 0.0%, 51.0: 0.0%, 55.0: 0.0%, 56.0: 0.0%, 57.0: 0.0%, 58.0: 0.0%, 59.0: 0.1%, 60.0: 0.1%, 61.0: 0.0%, 62.0: 0.1%, 63.0: 0.1%, 64.0: 0.2%, 65.0: 0.1%, 66.0: 0.2%, 67.0: 0.2%, 68.0: 0.1%, 69.0: 0.4%, 70.0: 0.2%, 71.0: 0.3%, 72.0: 0.2%, 73.0: 0.2%, 74.0: 0.4%, 75.0: 0.3%, 76.0: 0.5%, 77.0: 0.1%, 78.0: 0.3%, 79.0: 0.3%, 80.0: 0.1%, 81.0: 0.2%, 82.0: 0.2%, 83.0: 0.1%, 84.0: 0.2%, 85.0: 0.4%",0.409
SC064Q03TA,CTGAN,ordinal,,,,"1.0: 9.2%, 2.0: 26.3%, 3.0: 5.0%, 4.0: 1.5%, 5.0: 25.9%, 6.0: 5.0%, 7.0: 0.0%, 8.0: 0.1%, 9.0: 1.9%, 10.0: 6.7%, 11.0: 2.6%, 12.0: 0.0%, 13.0: 0.0%, 14.0: 0.2%, 15.0: 0.4%, 16.0: 1.2%, 17.0: 1.7%, 18.0: 1.9%, 19.0: 2.1%, 20.0: 1.6%, 21.0: 1.0%, 22.0: 0.6%, 23.0: 0.1%, 24.0: 0.1%, 25.0: 0.2%, 26.0: 0.2%, 27.0: 0.3%, 28.0: 0.4%, 29.0: 0.6%, 30.0: 2.8%",0.839
SC064Q02TA,CTGAN,ordinal,,,,"10.0: 0.6%, 11.0: 0.2%, 12.0: 0.3%, 13.0: 0.4%, 14.0: 0.5%, 15.0: 0.8%, 16.0: 0.9%, 17.0: 1.1%, 18.0: 1.0%, 19.0: 1.2%, 20.0: 1.2%, 21.0: 1.2%, 22.0: 0.9%, 23.0: 0.8%, 24.0: 1.0%, 25.0: 0.9%, 26.0: 0.8%, 27.0: 0.8%, 28.0: 0.4%, 29.0: 0.3%, 30.0: 0.2%, 31.0: 0.2%, 32.0: 0.1%, 33.0: 0.1%, 34.0: 0.1%, 35.0: 0.0%, 36.0: 0.0%, 37.0: 0.1%, 38.0: 0.0%, 39.0: 0.1%, 41.0: 0.0%, 42.0: 0.0%, 43.0: 0.1%, 44.0: 0.2%, 45.0: 0.1%, 46.0: 0.2%, 47.0: 0.4%, 48.0: 0.5%, 49.0: 0.6%, 50.0: 0.5%, 51.0: 0.8%, 52.0: 0.6%, 53.0: 0.4%, 54.0: 0.5%, 55.0: 0.2%, 56.0: 0.1%, 57.0: 0.0%, 58.0: 0.0%, 59.0: 0.0%, 62.0: 0.0%, 65.0: 0.0%, 66.0: 0.1%, 67.0: 0.1%, 68.0: 0.2%, 69.0: 0.3%, 70.0: 0.3%, 71.0: 0.3%, 72.0: 0.4%, 73.0: 0.8%, 74.0: 1.0%, 75.0: 1.1%, 76.0: 1.4%, 77.0: 1.2%, 78.0: 1.3%, 79.0: 1.7%, 80.0: 1.6%, 81.0: 1.5%, 82.0: 1.9%, 83.0: 2.0%, 84.0: 1.6%, 85.0: 1.1%, 86.0: 1.1%, 87.0: 1.4%, 88.0: 0.8%, 89.0: 0.9%, 90.0: 0.6%, 91.0: 0.5%, 92.0: 0.3%, 93.0: 0.3%, 94.0: 0.5%, 95.0: 0.1%, 96.0: 0.3%, 97.0: 1.0%, 98.0: 4.6%, 99.0: 12.7%, 100.0: 33.1%",0.438
SC064Q07WA,CTGAN,ordinal,,,,"1.0: 10.9%, 2.0: 12.0%, 3.0: 15.6%, 4.0: 11.6%, 5.0: 7.0%, 6.0: 3.8%, 7.0: 2.5%, 8.0: 1.8%, 9.0: 1.7%, 10.0: 2.1%, 11.0: 2.6%, 12.0: 2.4%, 13.0: 2.4%, 14.0: 1.8%, 15.0: 1.4%, 16.0: 1.5%, 17.0: 0.9%, 18.0: 0.5%, 19.0: 0.4%, 20.0: 0.4%, 21.0: 0.1%, 22.0: 0.0%, 23.0: 0.1%, 24.0: 0.0%, 25.0: 0.2%, 26.0: 0.5%, 27.0: 0.4%, 28.0: 0.6%, 29.0: 0.6%, 30.0: 0.7%, 31.0: 0.6%, 32.0: 0.3%, 33.0: 0.3%, 34.0: 0.2%, 35.0: 0.3%, 36.0: 0.1%, 37.0: 0.2%, 38.0: 0.0%, 39.0: 0.1%, 40.0: 0.1%, 41.0: 0.3%, 42.0: 0.4%, 43.0: 0.4%, 44.0: 0.4%, 45.0: 0.6%, 46.0: 0.7%, 47.0: 0.7%, 48.0: 0.6%, 49.0: 0.5%, 50.0: 0.5%, 51.0: 0.5%, 52.0: 0.4%, 53.0: 0.3%, 54.0: 0.1%, 55.0: 0.2%, 56.0: 0.1%, 57.0: 0.0%, 59.0: 0.0%, 60.0: 0.0%, 73.0: 0.0%, 74.0: 0.0%, 77.0: 0.0%, 78.0: 0.0%, 80.0: 0.0%, 81.0: 0.0%, 82.0: 0.0%, 84.0: 0.0%, 85.0: 0.1%, 86.0: 0.0%, 87.0: 0.2%, 89.0: 0.2%, 90.0: 0.2%, 91.0: 0.0%, 92.0: 0.1%, 93.0: 0.2%, 94.0: 0.2%, 95.0: 0.1%, 96.0: 0.1%, 97.0: 0.2%, 98.0: 0.3%, 99.0: 0.1%, 100.0: 2.4%",0.720
MISCED,CTGAN,ordinal,,,,"1: 1.9%, 2: 2.3%, 3: 4.3%, 4: 12.9%, 6: 11.3%, 7: 12.4%, 8: 20.9%, 9: 24.9%, 10: 9.1%",1.000
ST268Q04JA,CTGAN,ordinal,,,,"1: 15.5%, 2: 31.9%, 3: 33.9%, 4: 18.7%",1.000
AGE,GReaT,continuous,15.748 ± 0.284,15 to 16,1.000,,
ESCS,GReaT,continuous,0.615 ± 0.670,-2 to 1,1.000,,
PV1MATH,GReaT,continuous,608.329 ± 69.532,297 to 816,1.000,,
PV2MATH,GReaT,continuous,607.477 ± 69.038,285 to 878,1.000,,
PV3MATH,GReaT,continuous,606.945 ± 70.073,287 to 878,1.000,,
PV4MATH,GReaT,continuous,607.231 ± 71.060,306 to 838,1.000,,
PV5MATH,GReaT,continuous,607.952 ± 72.410,341 to 850,1.000,,
PV6MATH,GReaT,continuous,608.294 ± 68.725,266 to 851,1.000,,
PV7MATH,GReaT,continuous,611.163 ± 71.369,303 to 876,1.000,,
PV8MATH,GReaT,continuous,610.585 ± 70.165,323 to 828,1.000,,
PV9MATH,GReaT,continuous,609.050 ± 69.867,337 to 841,1.000,,
PV10MATH,GReaT,continuous,610.080 ± 68.662,297 to 817,1.000,,
SCHSIZE,GReaT,continuous,1343.658 ± 816.806,315 to 4020,1.000,,
MCLSIZE,GReaT,continuous,29.620 ± 8.063,18 to 38,1.000,,
ST001D01T,GReaT,categorical,,,,"8: 0.1%, 9: 4.8%, 10: 94.8%, 11: 0.3%",1.000
ST004D01T,GReaT,categorical,,,,"1: 57.0%, 2: 43.0%",1.000
SC064Q06WA,GReaT,ordinal,,,,"3.0: 2.5%, 4.0: 9.2%, 10.0: 11.8%, 15.0: 5.4%, 20.0: 23.4%, 30.0: 3.9%, 33.0: 1.3%, 50.0: 5.2%, 70.0: 7.3%, 80.0: 8.9%, 90.0: 3.3%, 100.0: 17.9%",1.000
ST268Q07JA,GReaT,ordinal,,,,"1: 0.2%, 2: 0.2%, 3: 17.1%, 4: 82.5%",1.000
ST268Q01JA,GReaT,ordinal,,,,"1: 5.7%, 2: 25.5%, 3: 43.0%, 4: 25.8%",1.000
SC064Q01TA,GReaT,ordinal,,,,"4.0: 1.3%, 5.0: 6.5%, 6.0: 9.3%, 10.0: 14.0%, 15.0: 8.9%, 20.0: 26.0%, 25.0: 4.5%, 30.0: 8.3%, 34.0: 4.8%, 40.0: 5.7%, 70.0: 10.8%",1.000
IMMIG,GReaT,categorical,,,,"1: 74.8%, 2: 7.0%, 3: 18.2%",1.000
SC064Q04NA,GReaT,ordinal,,,,"1.0: 3.7%, 2.0: 18.7%, 3.0: 18.4%, 4.0: 1.3%, 5.0: 20.3%, 6.0: 5.8%, 8.0: 2.5%, 10.0: 12.7%, 15.0: 9.2%, 20.0: 3.8%, 26.0: 3.7%",1.000
SC064Q05WA,GReaT,ordinal,,,,"2.0: 10.4%, 4.0: 9.3%, 5.0: 11.9%, 6.0: 1.3%, 10.0: 23.6%, 15.0: 3.6%, 20.0: 19.9%, 25.0: 5.2%, 28.0: 4.8%, 40.0: 5.8%, 50.0: 0.0%, 70.0: 3.7%, 85.0: 0.5%",1.000
SC064Q03TA,GReaT,ordinal,,,,"1.0: 8.1%, 2.0: 28.2%, 3.0: 2.8%, 5.0: 32.6%, 6.0: 5.7%, 7.0: 0.0%, 10.0: 12.5%, 16.0: 2.5%, 20.0: 3.8%, 30.0: 3.8%",1.000
SC064Q02TA,GReaT,ordinal,,,,"10.0: 3.7%, 20.0: 10.8%, 30.0: 5.8%, 50.0: 5.4%, 70.0: 3.7%, 75.0: 3.6%, 80.0: 6.7%, 90.0: 7.7%, 98.0: 2.5%, 100.0: 50.2%",1.000
SC064Q07WA,GReaT,ordinal,,,,"1.0: 17.8%, 2.0: 15.1%, 3.0: 6.5%, 4.0: 1.3%, 5.0: 15.4%, 6.0: 3.3%, 7.0: 6.3%, 10.0: 8.8%, 15.0: 5.4%, 16.0: 2.5%, 30.0: 3.9%, 48.0: 7.9%, 100.0: 5.8%",1.000
MISCED,GReaT,ordinal,,,,"1: 0.2%, 2: 0.7%, 3: 1.5%, 4: 10.2%, 6: 11.0%, 7: 13.9%, 8: 31.8%, 9: 25.3%, 10: 5.3%",1.000
ST268Q04JA,GReaT,ordinal,,,,"1: 5.3%, 2: 33.5%, 3: 43.2%, 4: 17.9%",1.000
AGE,Tabula,continuous,15.632 ± 0.262,15 to 16,1.000,,
ESCS,Tabula,continuous,0.515 ± 0.667,-2 to 1,1.000,,
PV1MATH,Tabula,continuous,597.904 ± 101.823,201 to 816,1.000,,
PV2MATH,Tabula,continuous,592.574 ± 103.792,237 to 878,0.999,,
PV3MATH,Tabula,continuous,593.898 ± 102.725,206 to 811,0.999,,
PV4MATH,Tabula,continuous,592.037 ± 104.511,201 to 802,1.000,,
PV5MATH,Tabula,continuous,587.248 ± 103.857,206 to 850,1.000,,
PV6MATH,Tabula,continuous,591.578 ± 104.228,206 to 805,1.000,,
PV7MATH,Tabula,continuous,592.701 ± 99.945,238 to 816,0.999,,
PV8MATH,Tabula,continuous,592.152 ± 101.620,282 to 826,1.000,,
PV9MATH,Tabula,continuous,594.142 ± 99.686,238 to 817,1.000,,
PV10MATH,Tabula,continuous,597.031 ± 101.718,238 to 817,1.000,,
SCHSIZE,Tabula,continuous,1082.103 ± 708.028,16 to 4020,1.000,,
MCLSIZE,Tabula,continuous,29.656 ± 7.973,18 to 38,1.000,,
ST001D01T,Tabula,categorical,,,,"8: 0.1%, 9: 10.8%, 10: 89.1%, 11: 0.0%",1.000
ST004D01T,Tabula,categorical,,,,"1: 14.9%, 2: 85.1%",1.000
SC064Q06WA,Tabula,ordinal,,,,"3.0: 2.2%, 4.0: 0.7%, 10.0: 17.9%, 15.0: 1.4%, 20.0: 23.3%, 30.0: 0.8%, 33.0: 9.7%, 50.0: 0.6%, 70.0: 1.3%, 80.0: 13.6%, 90.0: 10.5%, 100.0: 18.3%",1.000
ST268Q07JA,Tabula,ordinal,,,,"1: 0.7%, 2: 0.9%, 3: 11.3%, 4: 87.1%",1.000
ST268Q01JA,Tabula,ordinal,,,,"1: 3.9%, 2: 10.0%, 3: 36.9%, 4: 49.3%",1.000
SC064Q01TA,Tabula,ordinal,,,,"4.0: 9.8%, 5.0: 2.4%, 6.0: 0.6%, 10.0: 3.7%, 15.0: 0.9%, 20.0: 41.8%, 25.0: 8.9%, 28.0: 0.0%, 30.0: 8.2%, 34.0: 10.0%, 40.0: 10.2%, 70.0: 3.3%",1.000
IMMIG,Tabula,categorical,,,,"1: 61.9%, 2: 6.5%, 3: 31.6%",1.000
SC064Q04NA,Tabula,ordinal,,,,"1.0: 1.2%, 2.0: 20.5%, 3.0: 4.9%, 4.0: 10.0%, 5.0: 16.1%, 6.0: 11.0%, 8.0: 2.2%, 10.0: 14.2%, 15.0: 4.6%, 20.0: 14.3%, 26.0: 0.9%",1.000
SC064Q05WA,Tabula,ordinal,,,,"2.0: 20.8%, 4.0: 0.4%, 5.0: 4.0%, 6.0: 9.9%, 10.0: 20.7%, 15.0: 0.3%, 20.0: 19.1%, 25.0: 0.5%, 28.0: 9.8%, 40.0: 9.8%, 70.0: 1.0%, 85.0: 3.7%",1.000
SC064Q03TA,Tabula,ordinal,,,,"1.0: 9.5%, 2.0: 36.8%, 3.0: 1.2%, 5.0: 13.6%, 6.0: 10.7%, 10.0: 8.0%, 16.0: 1.9%, 20.0: 14.5%, 30.0: 3.7%",1.000
SC064Q02TA,Tabula,ordinal,,,,"10.0: 0.0%, 20.0: 3.5%, 30.0: 10.6%, 50.0: 1.4%, 70.0: 1.0%, 75.0: 0.3%, 80.0: 8.8%, 90.0: 14.2%, 98.0: 1.9%, 100.0: 58.4%",1.000
SC064Q07WA,Tabula,ordinal,,,,"1.0: 11.0%, 2.0: 7.0%, 3.0: 2.1%, 4.0: 9.8%, 5.0: 5.3%, 6.0: 11.4%, 7.0: 3.3%, 10.0: 16.9%, 15.0: 1.4%, 16.0: 2.1%, 30.0: 0.8%, 48.0: 18.5%, 100.0: 10.5%",1.000
MISCED,Tabula,ordinal,,,,"1: 0.5%, 2: 0.2%, 3: 1.3%, 4: 9.3%, 6: 11.9%, 7: 16.1%, 8: 25.8%, 9: 29.0%, 10: 5.9%",1.000
ST268Q04JA,Tabula,ordinal,,,,"1: 5.1%, 2: 13.1%, 3: 44.9%, 4: 36.8%",1.000
AGE,TapTap,continuous,15.751 ± 0.276,15 to 16,0.896,,
ESCS,TapTap,continuous,0.489 ± 0.774,-2 to 1,1.000,,
PV1MATH,TapTap,continuous,590.659 ± 98.984,206 to 816,0.999,,
PV2MATH,TapTap,continuous,589.586 ± 100.931,209 to 878,0.999,,
PV3MATH,TapTap,continuous,589.860 ± 98.840,282 to 838,0.999,,
PV4MATH,TapTap,continuous,587.169 ± 101.950,203 to 833,1.000,,
PV5MATH,TapTap,continuous,588.334 ± 101.696,206 to 850,0.998,,
PV6MATH,TapTap,continuous,590.330 ± 99.418,258 to 851,1.000,,
PV7MATH,TapTap,continuous,592.304 ± 101.070,231 to 881,0.998,,
PV8MATH,TapTap,continuous,592.067 ± 101.078,211 to 832,0.997,,
PV9MATH,TapTap,continuous,590.675 ± 99.640,269 to 883,0.999,,
PV10MATH,TapTap,continuous,592.065 ± 98.874,238 to 817,1.000,,
SCHSIZE,TapTap,continuous,1268.993 ± 702.869,63 to 4019,0.966,,
MCLSIZE,TapTap,continuous,29.974 ± 7.988,18 to 37,1.000,,
ST001D01T,TapTap,categorical,,,,"8: 0.5%, 9: 4.0%, 10: 95.3%, 11: 0.2%",1.000
ST004D01T,TapTap,categorical,,,,"1: 49.9%, 2: 50.1%",1.000
SC064Q06WA,TapTap,ordinal,,,,"3.015865958: 2.3%, 4.016048712: 7.5%, 8.73119598: 0.0%, 10.01714524: 12.0%, 14.98233819: 6.7%, 19.91181034: 0.0%, 19.98325196: 20.1%, 29.9850795: 6.2%, 32.98562776: 3.9%, 49.98873457: 7.0%, 69.99238965: 6.7%, 71.77843028: 0.0%, 79.99421719: 6.7%, 80.0120776: 0.0%, 89.99604473: 4.3%, 99.99787226: 16.4%",0.000
ST268Q07JA,TapTap,ordinal,,,,"1: 0.5%, 2: 0.7%, 3: 23.6%, 4: 75.2%",1.000
ST268Q01JA,TapTap,ordinal,,,,"1: 9.3%, 2: 28.0%, 3: 41.2%, 4: 21.6%",1.000
SC064Q01TA,TapTap,ordinal,,,,"3.995737376: 3.7%, 4.992090109: 8.6%, 6.005922715: 7.7%, 9.991333646: 14.5%, 15.00805706: 11.4%, 20.00730059: 29.1%, 25.00654413: 3.0%, 30.00578767: 7.1%, 34.00867847: 4.7%, 39.95707909: 0.0%, 40.00427474: 3.3%, 69.99973596: 6.8%",0.000
IMMIG,TapTap,categorical,,,,"1: 79.2%, 2: 6.8%, 3: 14.0%",1.000
SC064Q04NA,TapTap,ordinal,,,,"0.556710048: 0.0%, 0.996883533: 4.1%, 2.002055821: 16.6%, 3.000658355: 16.3%, 3.046646629: 0.0%, 3.999260889: 3.8%, 4.032109656: 0.0%, 4.997863423: 23.4%, 6.00303571: 3.6%, 8.000240778: 2.3%, 9.997445846: 11.3%, 14.99702827: 10.0%, 20.00318045: 6.2%, 25.77799379: 0.0%, 26.0013654: 2.3%",0.000
