Overall_Rank,Technique,Distribution_Score,Distribution_Rank,Path_Score,Path_Rank,LatentCorr_Score,LatentCorr_Rank,Covariate_Score,Covariate_Rank,Loading_Score,Loading_Rank,Reliability_Score,Reliability_Rank,HTMT_Score,HTMT_Rank,Fit_Score,Fit_Rank,Privacy_Score,Privacy_Rank,Overall_Score
1,TabSyn,-0.100,1,1.872,1,-0.029,2,-0.025,2,-0.028,1,-0.032,3,0,1,0,5,154.773,5,0.599
2,TabDiff,-0.270,2,1.707,2,-0.017,1,-0.016,1,-0.111,7,-0.074,7,0,1,1,4,417.707,1,0.566
3,TapTap,-0.581,6,1.468,5,-0.033,3,-0.033,4,-0.046,3,-0.017,1,0,1,4,1,146.630,6,0.512
4,GReaT,-0.490,4,1.657,3,-0.041,5,-0.039,5,-0.036,2,-0.028,2,0,1,0,5,136.845,8,0.438
5,CTGAN,-0.472,3,0.963,8,-0.044,6,-0.031,3,-0.084,5,-0.059,5,0,1,2,3,291.145,2,0.373
6,PredLLM,-0.601,7,1.084,6,-0.036,4,-0.046,7,-0.096,6,-0.033,4,0,1,4,1,161.717,3,0.358
7,Tabula,-0.520,5,1.528,4,-0.084,7,-0.042,6,-0.135,8,-0.078,8,0,1,0,5,137.510,7,0.168
8,REaLTabFormer,-0.711,8,0.980,7,-0.087,8,-0.072,8,-0.058,4,-0.068,6,0,1,0,5,155.764,4,0.117
