Overall_Rank,Technique,Distribution_Score,Distribution_Rank,Path_Score,Path_Rank,LatentCorr_Score,LatentCorr_Rank,Covariate_Score,Covariate_Rank,Loading_Score,Loading_Rank,Reliability_Score,Reliability_Rank,HTMT_Score,HTMT_Rank,Fit_Score,Fit_Rank,Privacy_Score,Privacy_Rank,Overall_Score
1,TabSyn,-0.100,1,1.872,1,-0.029,2,-0.025,2,-0.028,1,-0.032,2,0,1,0,6,154.773,5,0.620
2,TabDiff,-0.270,2,1.707,2,-0.017,1,-0.016,1,-0.111,7,-0.074,7,0,1,1,4,417.707,1,0.585
3,TapTap,-0.581,6,1.468,4,-0.033,3,-0.033,4,-0.046,4,-0.017,1,0,1,4,1,146.630,6,0.496
4,GReaT,-0.400,3,1.621,3,-0.042,5,-0.040,5,-0.044,3,-0.037,5,0,1,0,6,134.357,8,0.440
5,CTGAN,-0.472,4,0.963,8,-0.044,6,-0.031,3,-0.084,5,-0.059,6,0,1,2,3,291.145,2,0.395
6,PredLLM,-0.601,7,1.084,7,-0.036,4,-0.046,7,-0.096,6,-0.033,3,0,1,4,1,161.717,3,0.339
7,REaLTabFormer,-0.611,8,1.268,5,-0.070,7,-0.046,6,-0.040,2,-0.036,4,0,1,0,6,161.397,4,0.333
8,Tabula,-0.580,5,1.085,6,-0.181,8,-0.066,8,-0.112,8,-0.154,8,0,1,1,4,140.848,7,0.051
