Metric,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
Exact Match Rate,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NNDR,187.354,82.878,97.338,110.220,271.228,99.200,83.650,89.826
Membership Inference risk,0.531,0.960,0.901,0.832,0.383,0.863,0.944,0.917
DCR_p05,104.322,52.439,60.451,63.969,146.862,56.436,55.591,57.721
KAnonymity_mean_k_distance,216.499,114.380,130.591,143.085,300.345,129.870,113.190,122.191
