Metric,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
√AVE (SPI),0.455,0.510,0.479,0.473,0.509,0.522,0.512,0.519
√AVE (SMS),0.774,0.768,0.792,0.790,0.770,0.750,0.713,0.790
√AVE (SMP),0.876,0.939,0.955,0.931,0.717,0.965,0.947,0.972
