Metric,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
Directional Consistency,0.842,0.789,0.737,0.842,0.579,1.000,1.000,0.789
Rank Preservation (Spearman ρ),0.121,0.832,0.549,0.626,0.505,0.872,0.707,0.479
