Metric,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
RMSE (Fornell–Larcker),0.055,0.025,0.113,0.031,0.094,0.032,0.100,0.081
RMSE (HTMT),0.069,0.036,0.229,0.046,0.085,0.040,0.028,0.122
