ST001D01T,ST004D01T,ST268Q01JA,ST268Q04JA,ST268Q07JA,AGE,IMMIG,MISCED,ESCS,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,SC064Q05WA,SC064Q06WA,SC064Q01TA,SC064Q02TA,SC064Q04NA,SC064Q03TA,SC064Q07WA,SCHSIZE,MCLSIZE,LV_SMP
10,2,2,1,4,15.75,1,4,-1.2866,480.259,565.547,487.092,540.254,458.424,424.134,372.368,499.647,497.769,470.965,9,7,8,7,3,3,0,981,28,-0.529287284178742
10,2,3,2,3,15.83,1,8,0.9298,753.456,699.638,786.008,765.536,689.81,744.684,755.612,812.726,782.744,727.991,70,10,70,70,3,5,0,260,13,2.1696430275871297
10,1,1,2,4,16,1,9,0.9125,747.681,712.059,707.532,787.391,757.792,690.655,706.927,751.635,702.775,702.211,30,10,30,10,10,30,1,727,28,1.9193430810860657
10,1,1,1,4,15.5,1,4,0.506,409.017,401.257,397.521,369.809,411.533,355.607,419.714,450.804,335.666,384.674,68,68,69,68,23,29,0,432,28,-1.3801622500129294
10,2,4,1,4,15.92,1,8,1.523,562.989,672.376,637.861,704.857,685.061,686.509,646.947,649.819,642.381,641.387,17,54,61,39,1,77,0,662,28,1.1911794205909891
10,2,3,3,3,16.08,1,4,-0.9299,410.338,352.639,392.066,391.957,373.139,384.69,402.029,344.191,368.121,434.86,50,50,50,70,80,100,0,561,23,-1.459324980940622
10,1,2,2,1,15.58,1,4,-0.8693,533.592,532.953,528.273,521.323,570,542.833,509.194,565.214,536.579,546.928,52,100,99,100,0,90,0,208,23,0.05770906033066268
10,1,1,1,4,15.5,1,4,0.1232,453.394,530.545,399.758,502.596,494.093,461.382,451.216,449.071,466.162,459.301,20,10,10,10,0,5,2,677,23,-0.6542926774464897
10,2,1,1,4,15.67,1,4,-0.0442,507.655,497.473,516.687,546.548,560.486,528.927,560.647,542.153,533.042,538.136,5,5,3,3,0,2,0,419,23,0.00436061683319501
10,2,1,1,1,16,1,10,-0.3676,327.238,325.628,362.814,342.72,294.121,299.009,326.913,350.276,294.692,319.816,20,0,30,90,0,5,0,754,18,-2.065819335969592
10,2,1,1,1,15.5,1,4,-1.1171,228.726,241.47,229.06,254.455,253.623,255.399,259.62,307.629,293.233,255.718,20,20,33,39,41,32,11,972,23,-2.7229418757554473
10,2,4,4,4,15.58,1,10,1.4036,720.366,759.828,733.155,711.139,686.464,703.807,673.851,687.785,733.687,630.782,10,0,40,40,100,100,0,824,23,1.6962863243190163
9,1,2,1,4,15.33,1,8,0.6201,672.389,643.92,713.849,649.842,629.078,655.17,679.151,667.448,668.909,639.265,30,90,40,60,20,10,0,302,28,1.2791147278652448
10,2,1,1,2,15.92,1,8,0.2627,410.018,363.473,382.149,341.155,367.412,383.644,378.168,296.518,401.884,364.14,20,0,30,90,0,5,0,754,18,-1.6228086104371857
10,1,1,1,4,15.75,1,8,0.8757,499.328,513.129,535.717,580.732,473.947,599.3,608.898,520.363,636.607,577.768,52,1,81,52,10,5,0,1250,28,0.21892171320079873
10,1,1,1,3,16.17,1,4,0.5577,695.124,682.75,687.973,691.022,721.158,683.593,686.41,667.747,662.571,692.598,45,28,60,75,15,15,0,856,23,1.5283449992200637
10,1,3,2,4,15.92,1,8,1.3887,588.574,576.261,565.1,527.827,552.252,571.366,547.43,533.281,558.909,568.14,10,20,30,60,3,2,0,500,13,0.258870766880742
10,2,4,3,4,15.42,1,4,-0.2445,532.771,595.521,602.747,566.002,579.916,550.529,555.843,623.139,545.913,589.465,20,10,10,10,1,1,1,702,18,0.40869380171310044
10,2,2,2,3,15.92,1,4,0.0416,565.098,539.372,598.83,547.158,530.512,547.943,566.673,574.643,538.055,622.799,10,0,10,10,5,5,0,378,23,0.3000648658960612
10,2,3,3,4,15.58,1,8,0.8364,635.516,651.085,629.776,585.809,586.229,618.486,591.715,610.803,640.195,592.002,10,5,15,10,1,1,0,572,18,0.8058135382376864
10,2,2,2,4,15.83,1,7,0.7408,666.604,674.378,633.495,693.874,669.962,658.091,693.71,642.623,666.208,693.57,93,90,90,90,89,90,91,286,18,1.3525342655925192
10,2,3,3,3,15.58,1,8,1.0161,709.285,659.491,653.236,724.232,657.055,718.311,637.233,678.308,707.876,666.772,50,72,75,75,50,100,0,950,28,1.4700440003921038
