Path,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
SMP–SMS,0.064,-0.034,0.140,0.054,0.007,-0.016,-0.011,0.154
SMP–SPI,-0.049,0.000,0.100,0.051,0.217,-0.043,-0.003,-0.026
SMS–SPI,0.029,-0.014,-0.011,-0.007,0.061,-0.052,-0.022,-0.105
