Variable,Technique,Type,Mean ± SD,Range,Boundary_Adherence,Category_Proportions,Category_Adherence
SC064Q01TA,CTGAN,ordinal,,,,"4.0: 3.0%, 5.0: 2.1%, 6.0: 3.5%, 7.0: 3.8%, 8.0: 4.4%, 9.0: 4.6%, 10.0: 3.4%, 11.0: 3.8%, 12.0: 2.6%, 13.0: 2.3%, 14.0: 1.8%, 15.0: 1.0%, 16.0: 0.9%, 17.0: 0.7%, 18.0: 0.9%, 19.0: 7.9%, 20.0: 13.1%, 21.0: 6.1%, 22.0: 1.2%, 23.0: 0.4%, 24.0: 0.5%, 25.0: 1.0%, 26.0: 1.1%, 27.0: 1.3%, 28.0: 1.4%, 29.0: 1.7%, 30.0: 2.0%, 31.0: 2.1%, 32.0: 2.3%, 33.0: 1.6%, 34.0: 1.6%, 35.0: 1.2%, 36.0: 1.2%, 37.0: 0.9%, 38.0: 0.7%, 39.0: 0.6%, 40.0: 0.6%, 41.0: 0.4%, 42.0: 0.3%, 43.0: 0.2%, 44.0: 0.2%, 45.0: 0.1%, 46.0: 0.1%, 47.0: 0.0%, 58.0: 0.0%, 59.0: 0.0%, 61.0: 0.0%, 62.0: 0.2%, 63.0: 0.2%, 64.0: 0.4%, 65.0: 0.5%, 66.0: 0.6%, 67.0: 0.7%, 68.0: 1.1%, 69.0: 1.1%, 70.0: 4.5%",0.358
SC064Q04NA,CTGAN,ordinal,,,,"1.0: 2.1%, 2.0: 14.6%, 3.0: 14.6%, 4.0: 4.8%, 5.0: 16.1%, 6.0: 7.8%, 7.0: 0.6%, 8.0: 1.4%, 9.0: 5.7%, 10.0: 7.9%, 11.0: 2.6%, 12.0: 0.2%, 13.0: 0.4%, 14.0: 2.0%, 15.0: 4.3%, 16.0: 2.5%, 17.0: 0.8%, 18.0: 0.6%, 19.0: 0.8%, 20.0: 1.2%, 21.0: 1.6%, 22.0: 1.8%, 23.0: 1.5%, 24.0: 1.3%, 25.0: 1.3%, 26.0: 1.6%",0.764
MISCED,CTGAN,ordinal,,,,"1: 1.9%, 2: 2.3%, 3: 4.3%, 4: 12.9%, 6: 11.3%, 7: 12.4%, 8: 20.9%, 9: 24.9%, 10: 9.1%",1.000
SC064Q05WA,CTGAN,ordinal,,,,"2.0: 6.3%, 3.0: 7.7%, 4.0: 8.7%, 5.0: 7.4%, 6.0: 4.1%, 7.0: 1.9%, 8.0: 1.5%, 9.0: 4.2%, 10.0: 7.1%, 11.0: 7.1%, 12.0: 3.0%, 13.0: 0.7%, 14.0: 0.4%, 15.0: 0.5%, 16.0: 0.8%, 17.0: 1.3%, 18.0: 1.7%, 19.0: 2.3%, 20.0: 2.4%, 21.0: 3.3%, 22.0: 3.1%, 23.0: 3.2%, 24.0: 2.9%, 25.0: 2.4%, 26.0: 2.2%, 27.0: 1.5%, 28.0: 1.0%, 29.0: 0.6%, 30.0: 0.4%, 31.0: 0.2%, 32.0: 0.1%, 33.0: 0.1%, 35.0: 0.0%, 36.0: 0.1%, 37.0: 0.1%, 38.0: 0.3%, 39.0: 0.2%, 40.0: 0.4%, 41.0: 0.6%, 42.0: 0.4%, 43.0: 0.3%, 44.0: 0.4%, 45.0: 0.4%, 46.0: 0.4%, 47.0: 0.1%, 48.0: 0.1%, 49.0: 0.1%, 50.0: 0.0%, 51.0: 0.0%, 55.0: 0.0%, 56.0: 0.0%, 57.0: 0.0%, 58.0: 0.0%, 59.0: 0.1%, 60.0: 0.1%, 61.0: 0.0%, 62.0: 0.1%, 63.0: 0.1%, 64.0: 0.2%, 65.0: 0.1%, 66.0: 0.2%, 67.0: 0.2%, 68.0: 0.1%, 69.0: 0.4%, 70.0: 0.2%, 71.0: 0.3%, 72.0: 0.2%, 73.0: 0.2%, 74.0: 0.4%, 75.0: 0.3%, 76.0: 0.5%, 77.0: 0.1%, 78.0: 0.3%, 79.0: 0.3%, 80.0: 0.1%, 81.0: 0.2%, 82.0: 0.2%, 83.0: 0.1%, 84.0: 0.2%, 85.0: 0.4%",0.409
ST268Q04JA,CTGAN,ordinal,,,,"1: 15.5%, 2: 31.9%, 3: 33.9%, 4: 18.7%",1.000
ST268Q07JA,CTGAN,ordinal,,,,"1: 3.8%, 2: 3.9%, 3: 21.8%, 4: 70.5%",1.000
ST004D01T,CTGAN,categorical,,,,"1: 50.5%, 2: 49.5%",1.000
ST268Q01JA,CTGAN,ordinal,,,,"1: 14.3%, 2: 27.7%, 3: 33.9%, 4: 24.2%",1.000
SC064Q02TA,CTGAN,ordinal,,,,"10.0: 0.6%, 11.0: 0.2%, 12.0: 0.3%, 13.0: 0.4%, 14.0: 0.5%, 15.0: 0.8%, 16.0: 0.9%, 17.0: 1.1%, 18.0: 1.0%, 19.0: 1.2%, 20.0: 1.2%, 21.0: 1.2%, 22.0: 0.9%, 23.0: 0.8%, 24.0: 1.0%, 25.0: 0.9%, 26.0: 0.8%, 27.0: 0.8%, 28.0: 0.4%, 29.0: 0.3%, 30.0: 0.2%, 31.0: 0.2%, 32.0: 0.1%, 33.0: 0.1%, 34.0: 0.1%, 35.0: 0.0%, 36.0: 0.0%, 37.0: 0.1%, 38.0: 0.0%, 39.0: 0.1%, 41.0: 0.0%, 42.0: 0.0%, 43.0: 0.1%, 44.0: 0.2%, 45.0: 0.1%, 46.0: 0.2%, 47.0: 0.4%, 48.0: 0.5%, 49.0: 0.6%, 50.0: 0.5%, 51.0: 0.8%, 52.0: 0.6%, 53.0: 0.4%, 54.0: 0.5%, 55.0: 0.2%, 56.0: 0.1%, 57.0: 0.0%, 58.0: 0.0%, 59.0: 0.0%, 62.0: 0.0%, 65.0: 0.0%, 66.0: 0.1%, 67.0: 0.1%, 68.0: 0.2%, 69.0: 0.3%, 70.0: 0.3%, 71.0: 0.3%, 72.0: 0.4%, 73.0: 0.8%, 74.0: 1.0%, 75.0: 1.1%, 76.0: 1.4%, 77.0: 1.2%, 78.0: 1.3%, 79.0: 1.7%, 80.0: 1.6%, 81.0: 1.5%, 82.0: 1.9%, 83.0: 2.0%, 84.0: 1.6%, 85.0: 1.1%, 86.0: 1.1%, 87.0: 1.4%, 88.0: 0.8%, 89.0: 0.9%, 90.0: 0.6%, 91.0: 0.5%, 92.0: 0.3%, 93.0: 0.3%, 94.0: 0.5%, 95.0: 0.1%, 96.0: 0.3%, 97.0: 1.0%, 98.0: 4.6%, 99.0: 12.7%, 100.0: 33.1%",0.438
IMMIG,CTGAN,categorical,,,,"1: 64.1%, 2: 13.3%, 3: 22.7%",1.000
