Path,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
SMP–SMS,0.064,-0.048,0.096,0.054,-0.000,-0.016,-0.011,0.104
SMP–SPI,-0.049,0.057,0.084,0.051,0.145,-0.043,-0.003,-0.045
SMS–SPI,0.029,-0.015,-0.014,-0.007,0.039,-0.052,-0.022,-0.086
