Metric,CTGAN,GReaT,PredLLM,REAL_,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
Range (AIC),1416.900,814.870,6755.380,,3871.020,820.950,720.170,2706.470,1678.750
Range (CFI),0.010,0.010,0.010,,0.020,0.020,0.020,0.020,0.010
Range (RMSEA),0.000,0.000,0.010,,0.010,0.000,0.000,0.000,0.000
Range (SRMR),0.020,0.010,0.000,,0.020,0.000,0.010,0.010,0.010
Range (TLI),0.010,0.010,0.020,,0.020,0.020,0.010,0.010,0.000
