technique,variable,type,distance
Tabula_DistilGPT2,PV4MATH,continuous,32.224930679587885
Tabula_DistilGPT2,PV5MATH,continuous,33.05444375509961
Tabula_DistilGPT2,PV6MATH,continuous,29.838908946668546
Tabula_DistilGPT2,PV7MATH,continuous,30.615630493113045
Tabula_DistilGPT2,PV8MATH,continuous,30.61346292460736
Tabula_DistilGPT2,PV9MATH,continuous,30.38903762445255
Tabula_DistilGPT2,SC064Q01TA,categorical,0.09535605486878172
Tabula_DistilGPT2,SC064Q02TA,categorical,0.08530285665817676
Tabula_DistilGPT2,SC064Q03TA,categorical,0.08487637158454131
Tabula_DistilGPT2,SC064Q04NA,categorical,0.09167964936997568
Tabula_DistilGPT2,SC064Q05WA,categorical,0.10935492511793092
Tabula_DistilGPT2,SC064Q06WA,categorical,0.10172260733232898
Tabula_DistilGPT2,SC064Q07WA,categorical,0.09587491170161033
Tabula_DistilGPT2,SCHSIZE,continuous,27.62145177367211
Tabula_DistilGPT2,ST001D01T,categorical,0.06856901040750793
Tabula_DistilGPT2,ST004D01T,categorical,0.01938486531975509
Tabula_DistilGPT2,ST268Q01JA,categorical,0.0626458413483662
Tabula_DistilGPT2,ST268Q04JA,categorical,0.07343537758842965
Tabula_DistilGPT2,ST268Q07JA,categorical,0.10150075041593769
Tabula_GPT2,AGE,continuous,0.02357504946166041
Tabula_GPT2,ESCS,continuous,0.24623958250489156
Tabula_GPT2,IMMIG,categorical,0.046792416687003
Tabula_GPT2,MCLSIZE,continuous,0.14894654861452652
Tabula_GPT2,MISCED,categorical,0.14135892063042318
Tabula_GPT2,PV10MATH,continuous,28.075612344259714
Tabula_GPT2,PV1MATH,continuous,28.133793494015407
Tabula_GPT2,PV2MATH,continuous,29.87840455268077
Tabula_GPT2,PV3MATH,continuous,28.115474215620047
Tabula_GPT2,PV4MATH,continuous,32.13778260510029
Tabula_GPT2,PV5MATH,continuous,31.290923719943162
Tabula_GPT2,PV6MATH,continuous,29.37621835792753
Tabula_GPT2,PV7MATH,continuous,29.1599251125015
Tabula_GPT2,PV8MATH,continuous,28.02328251101492
Tabula_GPT2,PV9MATH,continuous,29.327538051636882
Tabula_GPT2,SC064Q01TA,categorical,0.10068521046656488
Tabula_GPT2,SC064Q02TA,categorical,0.06835622909309694
Tabula_GPT2,SC064Q03TA,categorical,0.08561341859443493
Tabula_GPT2,SC064Q04NA,categorical,0.10604411807770278
Tabula_GPT2,SC064Q05WA,categorical,0.11206516180854947
Tabula_GPT2,SC064Q06WA,categorical,0.08307916972826827
Tabula_GPT2,SC064Q07WA,categorical,0.11239752931450918
Tabula_GPT2,SCHSIZE,continuous,142.87582467945566
Tabula_GPT2,ST001D01T,categorical,0.04842630959644874
Tabula_GPT2,ST004D01T,categorical,0.001556020128890071
Tabula_GPT2,ST268Q01JA,categorical,0.058215850483795725
Tabula_GPT2,ST268Q04JA,categorical,0.0780622516122874
Tabula_GPT2,ST268Q07JA,categorical,0.11413930555951413
TapTap_DistilGPT2,AGE,continuous,0.028852347345794414
TapTap_DistilGPT2,ESCS,continuous,0.04489996942172896
TapTap_DistilGPT2,IMMIG,categorical,0.06685189523951154
TapTap_DistilGPT2,MCLSIZE,continuous,0.4980645048528033
TapTap_DistilGPT2,MISCED,categorical,0.06469406929868309
TapTap_DistilGPT2,PV10MATH,continuous,3.180877623084112
TapTap_DistilGPT2,PV1MATH,continuous,3.969303610934573
TapTap_DistilGPT2,PV2MATH,continuous,3.557172136191589
TapTap_DistilGPT2,PV3MATH,continuous,3.6185407942056074
TapTap_DistilGPT2,PV4MATH,continuous,2.873453727126167
TapTap_DistilGPT2,PV5MATH,continuous,3.236725141752338
TapTap_DistilGPT2,PV6MATH,continuous,3.561052988738316
TapTap_DistilGPT2,PV7MATH,continuous,3.416108938855137
TapTap_DistilGPT2,PV8MATH,continuous,3.8488611949766365
TapTap_DistilGPT2,PV9MATH,continuous,3.4852068740186937
TapTap_DistilGPT2,SC064Q01TA,categorical,0.8325546111576977
TapTap_DistilGPT2,SC064Q02TA,categorical,0.8325546111576977
TapTap_DistilGPT2,SC064Q03TA,categorical,0.8325546111576978
TapTap_DistilGPT2,SC064Q04NA,categorical,0.8325546111576977
TapTap_DistilGPT2,SC064Q05WA,categorical,0.8325546111576978
TapTap_DistilGPT2,SC064Q06WA,categorical,0.8325546111576977
TapTap_DistilGPT2,SC064Q07WA,categorical,0.8325546111576977
TapTap_DistilGPT2,SCHSIZE,continuous,96.40917300998373
TapTap_DistilGPT2,ST001D01T,categorical,0.06455610544761665
TapTap_DistilGPT2,ST004D01T,categorical,0.013385455673195797
TapTap_DistilGPT2,ST268Q01JA,categorical,0.0416776372482223
TapTap_DistilGPT2,ST268Q04JA,categorical,0.04461545085507045
TapTap_DistilGPT2,ST268Q07JA,categorical,0.04203415864839322
TapTap_GPT2,AGE,continuous,0.0275226371131918
TapTap_GPT2,ESCS,continuous,0.07508874808511595
TapTap_GPT2,IMMIG,categorical,0.07787809465478722
TapTap_GPT2,MCLSIZE,continuous,0.6489777645023838
TapTap_GPT2,MISCED,categorical,0.08239259085171781
TapTap_GPT2,PV10MATH,continuous,2.863503355227712
TapTap_GPT2,PV1MATH,continuous,2.878115446322513
TapTap_GPT2,PV2MATH,continuous,2.740303515653229
TapTap_GPT2,PV3MATH,continuous,2.6091697826845106
