"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"SMP","=~","PV1MATH","",84.3696121737356,0.380869898692751,221.518194174218,0,83.6164006923783,85.1302947767774,98.47748393118,0.960645439783451,0.960645439783451
"SMP","=~","PV2MATH","",84.6969931844544,0.388034711353599,218.271692470506,0,83.9601300779573,85.4710998221227,98.8596079849927,0.960266555554985,0.960266555554985
"SMP","=~","PV3MATH","",84.7182835894006,0.389057754467022,217.752461213523,0,83.9935772493954,85.4953943898076,98.884458466783,0.960718574365279,0.960718574365279
"SMP","=~","PV4MATH","",84.8227634889062,0.386226556172243,219.619190170544,0,84.094032045605,85.6171393751976,99.0064089814245,0.961414705528221,0.961414705528221
"SMP","=~","PV5MATH","",84.5940196964695,0.386463265181182,218.892783138936,0,83.8433750440703,85.3456092793724,98.7394157766003,0.960628014428423,0.960628014428423
"SMP","=~","PV6MATH","",84.2544493402293,0.3863317557476,218.08833492651,0,83.5224254004908,85.0399139006887,98.3430641348351,0.960527169360543,0.960527169360543
"SMP","=~","PV7MATH","",84.3230660112066,0.380832304459804,221.41783935797,0,83.6164181595164,85.0980852565184,98.4231545481899,0.960268454671002,0.960268454671002
"SMP","=~","PV8MATH","",84.4858672718745,0.382279194364069,221.005664230351,0,83.7794472387344,85.2898330503011,98.6131786352794,0.960864499185226,0.960864499185226
"SMP","=~","PV9MATH","",84.7650059255202,0.385405506414474,219.937194759127,0,84.0355283614258,85.5456774913246,98.9389934822453,0.960542829936878,0.960542829936878
"SMP","=~","PV10MATH","",84.6196490749095,0.383562195879934,220.615196137311,0,83.8921679012317,85.4047262854005,98.7693307737001,0.960840064900547,0.960840064900547
"SMS","=~","ST268Q01JA","",0.895129542327825,0.0050046110715663,178.860960327867,0,0.885317642513235,0.904930216708098,0.916998485147459,0.919781790304015,0.919781790304015
"SMS","=~","ST268Q04JA","",0.727383630907591,0.00462194322944054,157.376149986947,0,0.717963730121037,0.736282623626132,0.745154367186598,0.796601711337163,0.796601711337163
"SMS","=~","ST268Q07JA","",0.29787332040137,0.00471939508594372,63.1168433616753,0,0.288800136304724,0.307401639778407,0.305150674463902,0.387124553607412,0.387124553607412
"SPI","=~","SC064Q01TA","",26.8244622961716,0.120820341837861,222.01942063837,0,26.5936174148206,27.0673403338486,26.8244622961716,0.909338086523272,0.909338086523272
"SPI","=~","SC064Q02TA","",11.041317583792,0.192141561837157,57.4644937733447,0,10.6668275859144,11.422210462419,11.041317583792,0.315943249753468,0.315943249753468
