Metric,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
$\max(\mathrm{HTMT}) - \min(\mathrm{HTMT})$,,,,,,,,
$\sigma(\mathrm{HTMT})$,,,,,,,,
