Metric,CTGAN,GReaT_DistilGPT2,GReaT_GPT2,PredLLM_DistilGPT2,PredLLM_GPT2,REAL,REaLTabFormer,TabDiff,TabSyn,Tabula_DistilGPT2,Tabula_GPT2,TapTap_DistilGPT2,TapTap_GPT2
$\mu(R^2_{SMP})$,0.393,0.173,0.194,0.248,0.285,0.289,0.390,0.247,0.310,0.254,0.241,0.356,0.342
$\mu(R^2_{SMS})$,0.062,0.027,0.054,0.050,0.063,0.044,0.178,0.066,0.062,0.038,0.027,0.060,0.066
