Model,Metric,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
PLS,Mean |Δr|,0.047,0.039,0.054,0.037,0.033,0.037,0.012,0.080
PLS,Median |Δr|,0.049,0.046,0.042,0.051,0.022,0.043,0.011,0.076
PLS,Max |Δr|,0.064,0.052,0.092,0.054,0.071,0.052,0.022,0.098
CB,Mean |Δr|,0.042,0.046,0.024,0.029,0.026,0.021,0.021,0.092
CB,Median |Δr|,0.016,0.047,0.018,0.026,0.029,0.020,0.026,0.098
CB,Max |Δr|,0.102,0.047,0.047,0.051,0.033,0.034,0.035,0.161
