Technique,Mean_|Δμ|,Mean_|Δσ|,Mean_Continuous_Adherence
CTGAN,0.1,0.14,1.000
GReaT,0.16,0.24,1.000
PredLLM,0.04,0.06,0.999
REaLTabFormer,0.05,0.07,0.999
TabDiff,0.03,0.24,1.000
TabSyn,0.03,0.07,1.000
Tabula,0.27,0.31,1.000
TapTap,0.04,0.03,0.989
