Metric,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
√AVE (SPI),0.455,0.513,0.480,0.470,0.509,0.522,0.521,0.519
√AVE (SMS),0.774,0.769,0.796,0.747,0.770,0.750,0.772,0.790
√AVE (SMP),0.876,0.934,0.954,0.945,0.717,0.965,0.951,0.972
