Metric,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
Exact Match Rate,0.000,0.000,0.000,0.000,0.000,0.000,0.128,0.000
NNDR,187.354,83.746,100.343,99.167,271.228,99.200,49.311,89.826
Membership Inference risk,0.531,0.959,0.875,0.870,0.383,0.863,0.983,0.917
DCR_p05,104.322,55.678,65.335,57.467,146.862,56.436,0.000,57.721
KAnonymity_mean_k_distance,216.499,114.198,131.868,132.508,300.345,129.870,129.795,122.191
