Metric,CTGAN,GReaT,PredLLM,REAL,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
RMSEA (≤0.08),0.070,0.100,0.070,0.090,0.110,0.090,0.100,0.100,0.080
SRMR (≤0.08),0.080,0.090,0.070,0.090,0.110,0.080,0.090,0.090,0.080
CFI (≥0.90),0.880,0.850,0.930,0.890,0.820,0.720,0.880,0.870,0.930
TLI (≥0.90),0.870,0.830,0.920,0.880,0.800,0.680,0.870,0.850,0.920
AIC (↓),182527.770,166875.000,164783.560,170374.590,165841.570,188667.810,166715.850,164659.890,165116.250
