Metric,CTGAN,GReaT,PredLLM,REAL_,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
Range (AIC),1416.900,1776.360,4199.980,,3150.330,820.950,720.170,4957.740,1678.750
Range (CFI),0.010,0.020,0.010,,0.010,0.020,0.020,0.030,0.010
Range (RMSEA),0.000,0.000,0.000,,0.000,0.000,0.000,0.010,0.000
Range (SRMR),0.020,0.010,0.000,,0.010,0.000,0.010,0.020,0.010
Range (TLI),0.010,0.020,0.020,,0.020,0.020,0.010,0.040,0.000
