Path,CTGAN,GReaT_DistilGPT2,GReaT_GPT2,Tabula_DistilGPT2,Tabula_GPT2,TapTap_DistilGPT2,TapTap_GPT2,PredLLM_DistilGPT2,PredLLM_GPT2,TabSyn,TabDiff,REaLTabFormer
SMP–SMS,0.102,-0.081,-0.022,0.046,0.027,0.051,0.037,0.001,0.052,0.009,0.001,0.122
SMP–SPI,-0.009,0.047,0.022,0.109,0.029,0.009,0.039,0.001,0.008,0.034,-0.035,-0.051
SMS–SPI,0.016,-0.016,-0.002,-0.033,-0.053,-0.026,-0.020,-0.023,-0.034,0.020,-0.026,0.064
