Variable,Technique,Type,Category_Adherence,Category_Proportions
SC064Q02TA,Tabula,ordinal,1.000,"10.0: 5.5%, 15.0: 0.0%, 20.0: 10.9%, 30.0: 5.2%, 50.0: 6.1%, 70.0: 6.6%, 75.0: 2.5%, 80.0: 2.3%, 90.0: 7.9%, 98.0: 5.9%, 100.0: 47.1%"
SC064Q02TA,TapTap,ordinal,0.000,"9.997786811: 4.0%, 20.00756976: 9.0%, 29.98711167: 3.2%, 30.59193239: 0.0%, 50.00667756: 6.5%, 66.27635497: 0.0%, 69.99600241: 2.5%, 74.98577337: 4.0%, 80.00578536: 6.4%, 81.27590887: 0.0%, 89.98532727: 7.7%, 97.99920183: 2.1%, 99.99511021: 54.3%"
SC064Q03TA,REAL,ordinal,,"1.0: 8.2%, 2.0: 27.2%, 3.0: 4.2%, 5.0: 32.7%, 6.0: 4.7%, 10.0: 8.6%, 16.0: 3.5%, 20.0: 6.7%, 30.0: 4.2%"
SC064Q03TA,CTGAN,ordinal,0.839,"1.0: 9.2%, 2.0: 26.3%, 3.0: 5.0%, 4.0: 1.5%, 5.0: 25.9%, 6.0: 5.0%, 7.0: 0.0%, 8.0: 0.1%, 9.0: 1.9%, 10.0: 6.7%, 11.0: 2.6%, 12.0: 0.0%, 13.0: 0.0%, 14.0: 0.2%, 15.0: 0.4%, 16.0: 1.2%, 17.0: 1.7%, 18.0: 1.9%, 19.0: 2.1%, 20.0: 1.6%, 21.0: 1.0%, 22.0: 0.6%, 23.0: 0.1%, 24.0: 0.1%, 25.0: 0.2%, 26.0: 0.2%, 27.0: 0.3%, 28.0: 0.4%, 29.0: 0.6%, 30.0: 2.8%"
SC064Q03TA,GReaT,ordinal,1.000,"1.0: 6.4%, 2.0: 29.9%, 3.0: 3.0%, 5.0: 32.4%, 6.0: 5.8%, 10.0: 12.8%, 16.0: 3.0%, 20.0: 4.0%, 30.0: 2.6%"
SC064Q03TA,PredLLM,ordinal,0.000,"1.0286824611174925: 11.5%, 2.006648732404673: 31.2%, 2.984615003691854: 0.7%, 5.010402279929586: 41.2%, 5.988368551216766: 1.0%, 6.686915887850467: 0.8%, 9.97008837002886: 4.3%, 15.977595465078686: 2.6%, 20.029170017554147: 6.4%, 30.018396931416063: 0.4%"
SC064Q03TA,REaLTabFormer,ordinal,0.000,"0.3301351244837924: 0.0%, 1.0286824611174925: 11.6%, 2.006648732404673: 23.0%, 2.984615003691854: 8.8%, 5.010402279929586: 34.0%, 5.988368551216766: 0.1%, 8.363429495771348: 0.0%, 9.97008837002886: 5.8%, 13.04369665121714: 0.0%, 15.977595465078686: 3.5%, 16.047450198742055: 0.1%, 16.955561736365865: 0.0%, 20.029170017554147: 8.7%, 30.018396931416063: 4.3%"
SC064Q03TA,TabDiff,ordinal,1.000,"1: 7.8%, 2: 26.3%, 3: 4.8%, 5: 32.5%, 6: 4.1%, 10: 9.1%, 16: 4.7%, 20: 6.3%, 30: 4.3%"
SC064Q03TA,TabSyn,ordinal,1.000,"1: 9.5%, 2: 25.0%, 3: 3.8%, 5: 32.1%, 6: 5.1%, 10: 8.7%, 16: 3.6%, 20: 7.7%, 30: 4.6%"
SC064Q03TA,Tabula,ordinal,0.999,"0.0: 0.0%, 1.0: 7.2%, 2.0: 32.0%, 2.9: 0.0%, 3.0: 5.0%, 5.0: 34.2%, 6.0: 5.2%, 8.0: 0.0%, 10.0: 6.5%, 16.0: 5.8%, 20.0: 3.4%, 30.0: 0.5%, 34.0: 0.0%, 40.0: 0.0%"
