Model,Metric,CTGAN,GReaT_DistilGPT2,GReaT_GPT2,Tabula_DistilGPT2,Tabula_GPT2,TapTap_DistilGPT2,TapTap_GPT2,PredLLM_DistilGPT2,PredLLM_GPT2,TabSyn,TabDiff,REaLTabFormer
PLS,Mean |Δr|,0.047,0.056,0.044,0.043,0.032,0.037,0.030,0.095,0.120,0.037,0.012,0.095
PLS,Median |Δr|,0.049,0.071,0.033,0.034,0.030,0.051,0.030,0.061,0.076,0.043,0.011,0.105
PLS,Max |Δr|,0.064,0.076,0.070,0.079,0.066,0.054,0.059,0.217,0.247,0.052,0.022,0.154
CB,Mean |Δr|,0.042,0.048,0.015,0.063,0.036,0.029,0.032,0.008,0.031,0.021,0.021,0.079
CB,Median |Δr|,0.016,0.047,0.022,0.046,0.029,0.026,0.037,0.001,0.034,0.020,0.026,0.064
CB,Max |Δr|,0.102,0.081,0.022,0.109,0.053,0.051,0.039,0.023,0.052,0.034,0.035,0.122
