Metric,CTGAN,GReaT_DistilGPT2,GReaT_GPT2,PredLLM_DistilGPT2,PredLLM_GPT2,REaLTabFormer,TabDiff,TabSyn,Tabula_DistilGPT2,Tabula_GPT2,TapTap_DistilGPT2,TapTap_GPT2
ExactMatchRate,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NNDR,187.354,83.746,84.336,100.343,95.465,99.167,271.228,99.200,83.407,81.761,89.826,89.781
MembershipInference,0.531,0.959,0.963,0.875,0.875,0.870,0.383,0.863,0.961,0.965,0.917,0.924
DCR_p05,104.322,55.678,56.266,65.335,59.895,57.467,146.862,56.436,57.007,55.973,57.721,58.402
KAnonymity_mean_k_distance,216.499,114.198,114.601,131.868,128.554,132.508,300.345,129.870,111.302,110.560,122.191,122.019
