Metric,CTGAN,GReaT,Tabula,TapTap,PredLLM,TabSyn,TabDiff,REaLTabFormer
RMSE (Fornell–Larcker),0.055,0.032,0.037,0.031,0.063,0.032,0.100,0.061
RMSE (HTMT),0.069,0.058,0.062,0.046,0.064,0.040,0.028,0.085
