Metric,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
√AVE (SPI),0.455,0.513,0.479,0.479,0.509,0.522,0.497,0.519
√AVE (SMS),0.774,0.769,0.792,0.810,0.770,0.750,0.632,0.790
√AVE (SMP),0.876,0.934,0.955,0.928,0.717,0.965,0.943,0.972
