Metric,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
Exact Match Rate,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
NNDR,187.354,82.878,99.639,104.590,271.228,99.200,84.940,89.826
Membership Inference risk,0.531,0.960,0.885,0.842,0.383,0.863,0.940,0.917
DCR_p05,104.322,52.439,62.963,57.509,146.862,56.436,56.848,57.721
KAnonymity_mean_k_distance,216.499,114.380,132.247,137.464,300.345,129.870,111.512,122.191
