Metric,CTGAN,GReaT,PredLLM,REAL,REaLTabFormer,TabDiff,TabSyn,TapTap
$\mu(R^2_{SMP})$,0.393,0.203,0.248,0.289,0.390,0.247,0.310,0.356
$\mu(R^2_{SMS})$,0.062,0.058,0.050,0.044,0.178,0.066,0.062,0.060
