Metric,CTGAN,GReaT,PredLLM,REAL,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
$\mu(R^2_{SMP})$,0.393,0.198,0.249,0.289,0.262,0.247,0.310,0.189,0.356
$\mu(R^2_{SMS})$,0.062,0.033,0.041,0.044,0.095,0.066,0.062,0.021,0.060
