Metric,CTGAN,GReaT_DistilGPT2,GReaT_GPT2,Tabula_DistilGPT2,Tabula_GPT2,TapTap_DistilGPT2,TapTap_GPT2,PredLLM_DistilGPT2,PredLLM_GPT2,TabSyn,TabDiff,REaLTabFormer
$\mathrm{RMSE}_{FL}$,0.055,0.044,0.051,0.044,0.033,0.031,0.028,0.094,0.107,0.032,0.100,0.081
$\mathrm{RMSE}_{HTMT}$,0.069,0.070,0.061,0.061,0.042,0.046,0.039,0.085,0.092,0.040,0.028,0.122
