Metric,CTGAN,GReaT,PredLLM,REAL,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
$\mu(R^2_{SMP})$,0.393,0.198,0.241,0.289,0.330,0.247,0.310,0.251,0.356
$\mu(R^2_{SMS})$,0.062,0.033,0.044,0.044,0.134,0.066,0.062,0.044,0.060
