Metric,CTGAN,GReaT,PredLLM,REAL,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
RMSEA (≤0.08),0.070,0.100,0.070,0.090,0.110,0.090,0.100,0.090,0.080
SRMR (≤0.08),0.080,0.090,0.070,0.090,0.100,0.080,0.090,0.090,0.080
CFI (≥0.90),0.880,0.850,0.920,0.890,0.830,0.720,0.880,0.880,0.930
TLI (≥0.90),0.870,0.840,0.920,0.880,0.810,0.680,0.870,0.860,0.920
AIC (↓),182527.770,164964.470,163238.270,170374.590,166463.100,188667.810,166715.850,160193.220,165116.250
