Metric,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
Exact Match Rate,0.000,0.013,0.000,0.000,0.000,0.000,0.012,0.000
NNDR,187.354,72.770,100.343,99.167,271.228,99.200,74.816,89.826
Membership Inference risk,0.531,0.969,0.875,0.870,0.383,0.863,0.960,0.917
DCR_p05,104.322,5.182,65.335,57.467,146.862,56.436,12.156,57.721
KAnonymity_mean_k_distance,216.499,115.501,131.868,132.508,300.345,129.870,128.302,122.191
