Metric,CTGAN,GReaT,PredLLM,REaLTabFormer,TabDiff,TabSyn,Tabula,TapTap
√AVE (SPI),0.455,0.511,0.473,0.461,0.509,0.522,0.553,0.519
√AVE (SMS),0.774,0.774,0.790,0.771,0.770,0.750,0.768,0.790
√AVE (SMP),0.876,0.939,0.956,0.932,0.717,0.965,0.959,0.972
