Variable,Technique,Type,Category_Adherence,Category_Proportions
SC064Q01TA,PredLLM_DistilGPT2,ordinal,0.000,"3.943297759: 3.4%, 4.992090109: 6.6%, 6.04088246: 9.9%, 10.06125314: 11.7%, 14.95561744: 15.4%, 15.13041616: 0.0%, 20.02478047: 31.6%, 22.47196262: 1.3%, 24.91914477: 3.8%, 29.9883078: 5.0%, 30.6875027: 0.0%, 34.00867847: 0.5%, 34.1834772: 0.0%, 39.95183512: 0.8%, 41.00062747: 0.0%, 47.4681803: 0.0%, 70.01721584: 10.0%"
SC064Q01TA,PredLLM_GPT2,ordinal,0.000,"1.496115608: 0.0%, 3.943297759: 2.2%, 4.992090109: 7.1%, 6.04088246: 11.0%, 10.06125314: 10.2%, 14.95561744: 14.1%, 20.02478047: 36.0%, 22.47196262: 1.0%, 24.91914477: 4.7%, 25.26874222: 0.0%, 29.9883078: 4.1%, 34.00867847: 0.5%, 38.90304277: 0.0%, 39.95183512: 0.6%, 70.01721584: 8.3%"
SC064Q01TA,REaLTabFormer,ordinal,0.000,"3.9432977589132783: 2.1%, 4.992090109360966: 3.0%, 6.040882459808653: 5.8%, 9.886454411450176: 0.0%, 10.061253136524792: 12.8%, 10.935246761897863: 0.0%, 14.955617438614002: 9.0%, 20.024780465777827: 31.5%, 24.919144767867035: 6.2%, 29.98830779503086: 9.3%, 34.008678471747: 3.3%, 39.951835124283896: 0.0%, 70.01721583711762: 16.9%"
SC064Q01TA,TabDiff,ordinal,1.000,"4: 3.1%, 5: 8.4%, 6: 6.6%, 10: 13.7%, 15: 9.5%, 20: 28.2%, 25: 3.9%, 30: 8.3%, 34: 5.0%, 40: 4.3%, 70: 9.0%"
SC064Q01TA,TabSyn,ordinal,1.000,"4: 2.2%, 5: 6.9%, 6: 6.4%, 10: 11.6%, 15: 12.0%, 20: 28.6%, 25: 4.6%, 30: 8.8%, 34: 5.1%, 40: 5.2%, 70: 8.5%"
SC064Q01TA,Tabula_DistilGPT2,ordinal,1.000,"4.0: 0.9%, 5.0: 7.9%, 6.0: 5.5%, 10.0: 15.5%, 15.0: 8.4%, 20.0: 26.7%, 25.0: 5.2%, 30.0: 5.9%, 34.0: 5.0%, 40.0: 6.6%, 70.0: 12.5%, 90.0: 0.0%"
SC064Q01TA,Tabula_GPT2,ordinal,1.000,"4.0: 0.8%, 5.0: 6.2%, 6.0: 4.4%, 10.0: 15.2%, 15.0: 8.3%, 20.0: 30.9%, 25.0: 3.0%, 30.0: 10.1%, 34.0: 3.6%, 40.0: 5.0%, 70.0: 12.5%, 70.064: 0.0%"
SC064Q01TA,TapTap_DistilGPT2,ordinal,0.000,"3.995737376: 3.7%, 4.992090109: 8.6%, 6.005922715: 7.7%, 9.991333646: 14.5%, 15.00805706: 11.4%, 20.00730059: 29.1%, 25.00654413: 3.0%, 30.00578767: 7.1%, 34.00867847: 4.7%, 39.95707909: 0.0%, 40.00427474: 3.3%, 69.99973596: 6.8%"
SC064Q01TA,TapTap_GPT2,ordinal,0.000,"3.995737376: 3.5%, 4.992090109: 8.8%, 6.005922715: 8.2%, 9.991333646: 14.9%, 10.74296816: 0.0%, 15.00805706: 10.8%, 17.75239704: 0.0%, 20.00730059: 28.7%, 25.00654413: 3.2%, 30.00578767: 6.2%, 34.00867847: 4.7%, 38.44856609: 0.0%, 40.00427474: 2.4%, 69.99973596: 8.5%"
SC064Q02TA,REAL,ordinal,,"10.0: 4.3%, 20.0: 8.6%, 30.0: 4.7%, 50.0: 6.4%, 70.0: 4.3%, 75.0: 4.2%, 80.0: 6.4%, 90.0: 8.8%, 98.0: 3.5%, 100.0: 48.7%"
SC064Q02TA,CTGAN,ordinal,0.438,"10.0: 0.6%, 11.0: 0.2%, 12.0: 0.3%, 13.0: 0.4%, 14.0: 0.5%, 15.0: 0.8%, 16.0: 0.9%, 17.0: 1.1%, 18.0: 1.0%, 19.0: 1.2%, 20.0: 1.2%, 21.0: 1.2%, 22.0: 0.9%, 23.0: 0.8%, 24.0: 1.0%, 25.0: 0.9%, 26.0: 0.8%, 27.0: 0.8%, 28.0: 0.4%, 29.0: 0.3%, 30.0: 0.2%, 31.0: 0.2%, 32.0: 0.1%, 33.0: 0.1%, 34.0: 0.1%, 35.0: 0.0%, 36.0: 0.0%, 37.0: 0.1%, 38.0: 0.0%, 39.0: 0.1%, 41.0: 0.0%, 42.0: 0.0%, 43.0: 0.1%, 44.0: 0.2%, 45.0: 0.1%, 46.0: 0.2%, 47.0: 0.4%, 48.0: 0.5%, 49.0: 0.6%, 50.0: 0.5%, 51.0: 0.8%, 52.0: 0.6%, 53.0: 0.4%, 54.0: 0.5%, 55.0: 0.2%, 56.0: 0.1%, 57.0: 0.0%, 58.0: 0.0%, 59.0: 0.0%, 62.0: 0.0%, 65.0: 0.0%, 66.0: 0.1%, 67.0: 0.1%, 68.0: 0.2%, 69.0: 0.3%, 70.0: 0.3%, 71.0: 0.3%, 72.0: 0.4%, 73.0: 0.8%, 74.0: 1.0%, 75.0: 1.1%, 76.0: 1.4%, 77.0: 1.2%, 78.0: 1.3%, 79.0: 1.7%, 80.0: 1.6%, 81.0: 1.5%, 82.0: 1.9%, 83.0: 2.0%, 84.0: 1.6%, 85.0: 1.1%, 86.0: 1.1%, 87.0: 1.4%, 88.0: 0.8%, 89.0: 0.9%, 90.0: 0.6%, 91.0: 0.5%, 92.0: 0.3%, 93.0: 0.3%, 94.0: 0.5%, 95.0: 0.1%, 96.0: 0.3%, 97.0: 1.0%, 98.0: 4.6%, 99.0: 12.7%, 100.0: 33.1%"
SC064Q02TA,GReaT_DistilGPT2,ordinal,1.000,"10.0: 3.7%, 20.0: 10.8%, 30.0: 5.8%, 50.0: 5.4%, 70.0: 3.7%, 75.0: 3.6%, 80.0: 6.7%, 90.0: 7.7%, 98.0: 2.5%, 100.0: 50.2%"
SC064Q02TA,GReaT_GPT2,ordinal,1.000,"10.0: 3.5%, 20.0: 12.4%, 30.0: 5.5%, 50.0: 5.9%, 70.0: 2.9%, 75.0: 2.8%, 80.0: 5.1%, 90.0: 7.0%, 98.0: 5.0%, 100.0: 50.1%"
SC064Q02TA,PredLLM_DistilGPT2,ordinal,0.000,"10.08850992: 5.0%, 20.06805183: 11.1%, 30.04759374: 1.0%, 40.32954601: 0.0%, 41.23677709: 0.0%, 48.19221539: 0.0%, 50.00667756: 7.7%, 69.96576138: 4.0%, 75.10673751: 7.4%, 78.13084112: 1.7%, 79.94530329: 5.9%, 89.9248452: 6.5%, 98.08992494: 2.7%, 99.90438711: 47.0%"
SC064Q02TA,PredLLM_GPT2,ordinal,0.000,"10.08850992: 4.7%, 20.06805183: 11.3%, 30.04759374: 0.9%, 46.07534287: 0.0%, 50.00667756: 9.3%, 50.61149828: 0.0%, 53.33319153: 0.0%, 53.63560189: 0.0%, 56.05488478: 0.0%, 56.35729514: 0.1%, 69.96576138: 3.5%, 75.10673751: 7.3%, 78.13084112: 1.2%, 79.94530329: 5.6%, 80.24771365: 0.0%, 89.9248452: 7.0%, 97.78751458: 0.0%, 98.08992494: 3.7%, 99.90438711: 45.1%"
SC064Q02TA,REaLTabFormer,ordinal,0.000,"10.088509919671878: 6.4%, 10.995741002362848: 0.0%, 20.06805182927265: 8.7%, 44.865701422826085: 0.0%, 46.07534286641405: 0.0%, 50.00667755807497: 5.2%, 50.309087918971954: 0.0%, 69.96576137727651: 9.5%, 75.1067375125254: 2.0%, 78.13084112149532: 0.0%, 78.73566184328931: 0.0%, 79.94530328687728: 10.3%, 85.69110014392015: 0.0%, 89.92484519647806: 12.1%, 98.08992494069686: 3.4%, 99.9043871060788: 42.2%"
SC064Q02TA,TabDiff,ordinal,1.000,"10: 4.6%, 20: 8.6%, 30: 4.0%, 50: 5.7%, 70: 4.0%, 75: 4.1%, 80: 7.2%, 90: 8.8%, 98: 4.3%, 100: 48.6%"
SC064Q02TA,TabSyn,ordinal,1.000,"10: 3.2%, 20: 8.7%, 30: 5.0%, 50: 6.0%, 70: 3.3%, 75: 5.0%, 80: 6.9%, 90: 9.9%, 98: 3.6%, 100: 48.4%"
SC064Q02TA,Tabula_DistilGPT2,ordinal,1.000,"10.0: 5.0%, 15.635: 0.0%, 20.0: 12.4%, 30.0: 6.7%, 50.0: 5.1%, 70.0: 3.5%, 75.0: 1.7%, 80.0: 7.6%, 90.0: 8.3%, 98.0: 2.1%, 100.0: 47.6%"
SC064Q02TA,Tabula_GPT2,ordinal,1.000,"10.0: 5.2%, 20.0: 8.3%, 30.0: 5.2%, 50.0: 7.7%, 70.0: 5.6%, 75.0: 1.8%, 80.0: 7.4%, 90.0: 10.3%, 98.0: 4.2%, 100.0: 44.3%"
SC064Q02TA,TapTap_DistilGPT2,ordinal,0.000,"9.997786811: 4.0%, 20.00756976: 9.0%, 29.98711167: 3.2%, 30.59193239: 0.0%, 50.00667756: 6.5%, 66.27635497: 0.0%, 69.99600241: 2.5%, 74.98577337: 4.0%, 80.00578536: 6.4%, 81.27590887: 0.0%, 89.98532727: 7.7%, 97.99920183: 2.1%, 99.99511021: 54.3%"
SC064Q02TA,TapTap_GPT2,ordinal,0.000,"9.997786811: 4.0%, 20.00756976: 10.1%, 29.98711167: 2.5%, 50.00667756: 5.9%, 69.99600241: 3.0%, 74.98577337: 3.6%, 80.00578536: 6.2%, 89.98532727: 7.1%, 97.99920183: 2.4%, 99.99511021: 55.3%"
SC064Q03TA,REAL,ordinal,,"1.0: 8.2%, 2.0: 27.2%, 3.0: 4.2%, 5.0: 32.7%, 6.0: 4.7%, 10.0: 8.6%, 16.0: 3.5%, 20.0: 6.7%, 30.0: 4.2%"
SC064Q03TA,CTGAN,ordinal,0.839,"1.0: 9.2%, 2.0: 26.3%, 3.0: 5.0%, 4.0: 1.5%, 5.0: 25.9%, 6.0: 5.0%, 7.0: 0.0%, 8.0: 0.1%, 9.0: 1.9%, 10.0: 6.7%, 11.0: 2.6%, 12.0: 0.0%, 13.0: 0.0%, 14.0: 0.2%, 15.0: 0.4%, 16.0: 1.2%, 17.0: 1.7%, 18.0: 1.9%, 19.0: 2.1%, 20.0: 1.6%, 21.0: 1.0%, 22.0: 0.6%, 23.0: 0.1%, 24.0: 0.1%, 25.0: 0.2%, 26.0: 0.2%, 27.0: 0.3%, 28.0: 0.4%, 29.0: 0.6%, 30.0: 2.8%"
SC064Q03TA,GReaT_DistilGPT2,ordinal,1.000,"1.0: 8.1%, 2.0: 28.2%, 3.0: 2.8%, 5.0: 32.6%, 6.0: 5.7%, 7.0: 0.0%, 10.0: 12.5%, 16.0: 2.5%, 20.0: 3.8%, 30.0: 3.8%"
SC064Q03TA,GReaT_GPT2,ordinal,1.000,"1.0: 6.2%, 2.0: 28.1%, 3.0: 2.8%, 5.0: 36.4%, 6.0: 5.5%, 10.0: 8.7%, 16.0: 5.0%, 20.0: 3.8%, 30.0: 3.5%"
SC064Q03TA,PredLLM_DistilGPT2,ordinal,0.000,"0.888972994: 0.0%, 1.028682461: 11.5%, 2.006648732: 32.3%, 2.984615004: 0.7%, 5.01040228: 40.6%, 5.988368551: 1.0%, 6.686915888: 1.6%, 9.97008837: 4.5%, 11.36718304: 0.0%, 11.71645671: 0.0%, 15.97759547: 2.5%, 20.02917002: 4.8%, 30.01839693: 0.4%"
SC064Q03TA,PredLLM_GPT2,ordinal,0.000,"0.120570923: 0.0%, 0.330135124: 0.0%, 1.028682461: 11.3%, 2.006648732: 32.0%, 2.984615004: 0.5%, 5.01040228: 40.6%, 5.708949617: 0.1%, 5.988368551: 1.3%, 6.686915888: 1.7%, 7.10604429: 0.0%, 9.97008837: 4.4%, 15.97759547: 3.3%, 18.70193008: 0.0%, 20.02917002: 4.5%, 30.01839693: 0.3%"
SC064Q03TA,REaLTabFormer,ordinal,0.000,"0.3301351244837924: 0.1%, 1.0286824611174925: 8.2%, 2.006648732404673: 37.3%, 2.984615003691854: 1.8%, 3.4037434056720746: 0.0%, 5.010402279929586: 32.1%, 5.988368551216766: 0.0%, 8.992122098741678: 0.0%, 9.97008837002886: 10.7%, 15.977595465078686: 3.4%, 20.029170017554147: 5.3%, 30.018396931416063: 1.1%"
